id,fname,fold,connective,label,text1,text2
pdtb-wsj_1615-88,wsj_1615,0,and,else,recognizes a photograph of one of the founders,recalls time spent together in Camden
pdtb-wsj_2265-67,wsj_2265,1,but,else,a drop in the stock market might create a weakened economy and a consequent reduction in copper use,"the recovery in the stock market provided little help for copper as word spread that a three-month strike at the Highland Valley mine in British Columbia was about over, according to an analyst"
pdtb-wsj_0742-11,wsj_0742,2,as,else,they will move away from stocks,many have already done
pdtb-wsj_1446-3,wsj_1446,3,though,else,he plans to franchise it in other states,the service is available only in California
pdtb-wsj_1694-29,wsj_1694,4,also,else,many individual investors are leery about stocks because of fresh signs of fragility in the huge junk-bond market,"Investors are anxious about today's ""witching hour,"" the monthly expiration of stock-index futures and options, and options on individual stocks"
pdtb-wsj_2321-15,wsj_2321,5,but,else,I didn't hear every word he spoke,"as a general proposition, I think we have a very consistent trade strategy in the Bush administration"
pdtb-wsj_2201-15,wsj_2201,6,for example,else,"This time, the firms were ready",Fidelity prepared ads several months ago in case of a market plunge
pdtb-wsj_2172-7,wsj_2172,7,after,precede,the UAL buyers failed to obtain financing for their earlier $300-a-share bid,The Manhattan real-estate developer acted
pdtb-wsj_2155-27,wsj_2155,8,but,else,it announces some new versions of its mainframes,the basic technology in the line is almost five years old
pdtb-wsj_0413-14,wsj_0413,9,and,else,eat a big pizza,go to bed
pdtb-wsj_2398-27,wsj_2398,0,but,else,which may presage firmer demand,growing production capacity could keep pressure on prices into the early 1990s
pdtb-wsj_0349-6,wsj_0349,1,and,else,taking everybody out of an automobile,making them ride a horse
pdtb-wsj_2340-8,wsj_2340,2,additionally,else,"said it hasn't any plans to catch up on dividends in arrears about $6 million, but will do so some time in the future","the company said it filed with the Securities and Exchange Commission for the proposed offering of 10 million shares of common stock, expected to be offered in November"
pdtb-wsj_1318-6,wsj_1318,3,but,else,the subsidiary's primary mission will be to make movies for TNT and to distribute them internationally,Turner Broadcasting already has found some ideas that might work well as films for theatrical release in the U.S
pdtb-wsj_1800-9,wsj_1800,4,specifically,else,"Within the IRS, nearly $1.95 billion is provided for processing tax returns, a 12% increase over fiscal 1989 and double what the government was spending five years ago",Congress added $7.4 million for stepped up criminal investigations of money laundering related to drug traffic
pdtb-wsj_0745-13,wsj_0745,5,until,precede,which limits any individual holding to 15%,"the restriction expires on Dec. 31, 1990"
pdtb-wsj_1057-134,wsj_1057,6,moreover,else,"The CBS plan to use big-time sports as a platform for other series carries no guarantee of success, however",sports is hardly the best way to lure adult women
pdtb-wsj_2265-77,wsj_2265,7,but,else,The LME stocks decline was about as expected,the Comex gain wasn't
pdtb-wsj_2160-28,wsj_2160,8,and,else,the Amex added $4 million,$18 million came from Mr. Fossett's own assets
pdtb-wsj_0526-26,wsj_0526,9,then,precede,brutally raped and beat her,left her to die in a cold-storage room
pdtb-wsj_0671-65,wsj_0671,0,after,precede,trading as low as 85 1/4,RJR Holdings Capital Corp. 's 14.7% convertible pay-in-kind securities maturing in 2009 closed 1/2 higher at 86 1/2
pdtb-wsj_2367-4,wsj_2367,1,and,else,they were worried about setting a precedent that would permit pool halls along Addison's main street,"the mayor, in an admonition that bears a rhythmic resemblance to Prof. Hill's, warned that ""alcohol leads to betting, which leads to fights"
pdtb-wsj_1585-2,wsj_1585,2,before,precede,she had,she had to pay the catastrophic surtax
pdtb-wsj_1635-67,wsj_1635,3,in addition,else,"The secondary, or resale, market for asset-backed securities is relatively new and much less active than for Treasury issues","an investor who wants to know the daily value of Treasury bonds, or corporate bonds traded on the New York Stock Exchange, can simply check newspaper listings"
pdtb-wsj_1137-15,wsj_1137,4,and,else,only a black politician can speak for a black person,only a white politician can govern on behalf of a white one
pdtb-wsj_2031-4,wsj_2031,5,and,else,"who is chairman of American Continental Corp., Lincoln's parent",who contributed heavily to several U.S. senators
pdtb-wsj_0089-73,wsj_0089,6,however,else,One bright sign is that a growing number of women have entered the once male-dominated field; more than a third of the ringers today are women,They aren't accepted everywhere
pdtb-wsj_0374-42,wsj_0374,7,and,else,"were lower in Brussels, Milan and Stockholm","mixed in Amsterdam, Paris and Zurich"
pdtb-wsj_2234-0,wsj_2234,8,and,else,cover all but a small percentage of domestic air traffic,represent a major expansion of the current smoking ban on flights of two hours or less
pdtb-wsj_0981-7,wsj_0981,9,and,else,said the latest stock offering won't cover the $600 million or more cost of building the proposed resort and theme park,"added it will need to seek additional financing, either through bank borrowings or debt and equity offerings, at a later date"
pdtb-wsj_1418-24,wsj_1418,0,and,else,"The leading contender for the mayoral office, Democrat David Dinkins, has been criticized recently for the way he handled his personal financial affairs",the controversy has led to uncertainty about the outcome of the election
pdtb-wsj_2325-24,wsj_2325,1,and,else,margins picked up in September,"gasoline profits will rebound this quarter, though still not to the level of 1988's fourth quarter"
pdtb-wsj_0004-8,wsj_0004,2,for example,else,"Nevertheless yields ""may blip up again before they blip down"" because of recent rises in short-term interest rates",The yield on six-month Treasury bills sold at Monday's auction rose to 8.04% from 7.90%
pdtb-wsj_1595-0,wsj_1595,3,also,else,"The number of people receiving regular state benefits in the week ended Sept. 30 decreased to a seasonally adjusted 2,202,000, or 2.2% of those covered by unemployment insurance, from 2,205,000 the previous week",the insured unemployment rate was 2.2%
pdtb-wsj_1901-5,wsj_1901,4,instead,else,The U.S. wants a higher won to make South Korea's exports more expensive and help trim Seoul's trade surplus,Many South Korean business people want a devaluation
pdtb-wsj_0525-34,wsj_0525,5,separately,else,"Merrill Lynch & Co. recommended program-trading reforms late Friday, including higher margins on stock-index futures and greater regulatory coordination","Mr. Cayne of Bear Stearns said his firm is working with regulators to balance margin requirements to ""enhance stabilization"
pdtb-wsj_1555-17,wsj_1555,6,and,else,takes a task,splits it up into parts
pdtb-wsj_1372-2,wsj_1372,7,but,else,Qintex Australia hasn't disclosed its borrowings,analysts estimate the company's debt at A$1.2 billion
pdtb-wsj_2264-22,wsj_2264,8,when,sync,Mr. Stanley was arrested and charged along with the others,he returned to Namibia this month
pdtb-wsj_0996-27,wsj_0996,9,whether,else,Presidents must have the chance to veto,"it's called an ""order, resolution or vote"" or anything else"
pdtb-wsj_1267-40,wsj_1267,0,but,else,The notion they try to sell is that juries don't make decisions rationally,the effort is also being made to try and cause jurors not to decide things rationally
pdtb-wsj_0305-26,wsj_0305,1,but,else,"Mr. Wathen also relished the chance to demonstrate an entrepreneur like himself, who'd spent his whole career in the security business, could run Pinkerton's better than an unfocused conglomerate or investment banker",there were hitches
pdtb-wsj_0278-14,wsj_0278,2,in addition,else,The two sides are also discussing certain business ventures involving cable rights to Columbia's movies,"Sony is expected to agree to swap Columbia's 35% stake in the sprawling Burbank, Calif., studio that Warner and Columbia share, in exchange for the old MGM studio lot that Warner acquired with the purchase of Lorimar Telepictures Corp"
pdtb-wsj_2207-26,wsj_2207,3,but,else,"All the witnesses, both congressmen and industry experts, expressed support for the bill in order to prevent profiteers from cashing in on airline profits at the expense of safe, cost-effective service","several committee members disapproved, some backing Mr. Trump's claim that the threat of regulation caused the failure of the UAL deal and the stock-market plunge"
pdtb-wsj_1145-9,wsj_1145,4,but,else,is completed,isn't yet operating
pdtb-wsj_1863-21,wsj_1863,5,but,else,"The Big Board declined to name the Wall Street firms involved in the activity Friday and Monday, or the type of strategies used","traders on the exchange floor, who can observe the computer-guided trading activity on monitor screens, said most of the top program-trading firms were active both days"
pdtb-wsj_1766-45,wsj_1766,6,and,else,gets caught in the machinery,creates a run in the sheets
pdtb-wsj_1499-6,wsj_1499,7,but,else,George Bush is quite clear: No new ducks,what about all those non-duck ducks flapping over Washington
pdtb-wsj_1217-7,wsj_1217,8,after,precede,"plunging $33, to $145","The stock closed down $8.375, at $170"
pdtb-wsj_1578-25,wsj_1578,9,but,else,"Takeover enthusiasm may have been renewed when an investor group disclosed yesterday that it had obtained all the financing required to complete its $1.6 billion leveraged buy-out of American Medical International. ""That's put some oomph back into this market,"" said Peter VandenBerg, a vice president of equity trading at Shearson Lehman Hutton",some traders thought there was less to the rally than met the eye
pdtb-wsj_1435-42,wsj_1435,0,while,sync,One building was upgraded to red status,people were taking things out
pdtb-wsj_1464-65,wsj_1464,1,however,else,The coupon on the issue will be reset in one year at a rate that will give the issue a market value of 101,the maximum coupon rate on the issue when it is reset is 15.50%
pdtb-wsj_0224-53,wsj_0224,2,in,sync,Mr. Ridley hinted at this motive,answering questions from members of Parliament after his announcement
pdtb-wsj_2232-87,wsj_2232,3,and,else,spend $2 million,get the program rally started
pdtb-wsj_1171-29,wsj_1171,4,afterward,precede,which closed on the Big Board Monday at $178.375 a share,UAL traded in the third market as low as $158 a share
pdtb-wsj_0449-0,wsj_0449,5,and,else,"Kidder, Peabody & Co., a unit of General Electric Co., announced it would stop doing stock-index arbitrage for its own account",Merrill Lynch & Co. pulled out of the practice altogether
pdtb-wsj_1583-2,wsj_1583,6,though,else,there still are a few ways today's traveler can qualify under the airline's many restrictions,One of the best deals may mean skipping Christmas dinner with the relatives
pdtb-wsj_1586-74,wsj_1586,7,and,else,"Aftereffects of the 1987 stock market crash head the list of reasons. In addition, competition has glutted the market with both skins and coats, driving prices down. The animal-rights movement hasn't helped sales. Warm winters over the past two years have trimmed demand, too, furriers complain",those who didn't move some production overseas suffer labor shortages
pdtb-wsj_1337-10,wsj_1337,8,but,else,Relatively stable foreign currency dealings Monday were viewed favorably by market players,institutional investors may wait a little longer to appraise the direction of the U.S. monetary policy and the dollar
pdtb-wsj_1311-21,wsj_1311,9,also,else,"The Ashland, Ky., oil company reported a $38 million charge resulting from settlement of a 10-year dispute with the National Iranian Oil Co. over claims that Ashland didn't pay for Iranian crude it had received",Ashland took a $25 million after-tax charge to cover anticipated costs to correct problems with boilers built by one of its subsidiaries
pdtb-wsj_0683-9,wsj_0683,0,and,else,dug for,analyzed
pdtb-wsj_0550-43,wsj_0550,1,and,else,The apparent crash became top secret,the alien creatures went away upset with the rude ways of human beings
pdtb-wsj_2201-47,wsj_2201,2,and,else,owned it,liked it
pdtb-wsj_0465-75,wsj_0465,3,as though,else,"It often is preceded by the development of polyps in the bowel, which in some cases become increasingly malignant in identifiable stages",a cascade of genetic damage might be occurring
pdtb-wsj_2064-12,wsj_2064,4,while,sync,there is a clear economic case against it,international politics may argue for the capital increase
pdtb-wsj_1556-6,wsj_1556,5,and,else,threatening to drive the smallest ones out of business,straining relations between the national fast-food chains and their franchisees
pdtb-wsj_0553-72,wsj_0553,6,and,else,"In fixing rates the choice of initial parities is crucial, for example",perhaps he picked the wrong pound-DM rate
pdtb-wsj_1473-33,wsj_1473,7,or,else,in trouble,whose troubles provide material for fiction
pdtb-wsj_2345-23,wsj_2345,8,and,else,smiled broadly,"said: ""No comment"
pdtb-wsj_1701-0,wsj_1701,9,also,else,published by this company,"that has interests in book publishing, fine china, oil services and investment banking"
pdtb-wsj_0987-10,wsj_0987,0,after,precede,the SEC study of the drop is completed,"I'm perfectly happy to work with this committee . . . in identifying whether we need other devices,"" such as a program-trading curb"
pdtb-wsj_2428-43,wsj_2428,1,but,else,I don't believe that's the case,I believe that people are running scared
pdtb-wsj_1774-13,wsj_1774,2,also,else,those sales have been declining this year in the wake of allegations that the company engaged in unfair sales practices that encouraged customers to overpurchase services,"price competition in its Nielsen Marketing Research, Nielsen Clearing House and Donnelley Marketing businesses restrained revenue growth"
pdtb-wsj_0453-6,wsj_0453,3,and,else,The Nissan logo flashed on the screen for a moment,came a taped plea for donations from former President Reagan
pdtb-wsj_0445-96,wsj_0445,4,but,else,IBM established its standard to try to stop falling behind upstart Apple Computer,NEC was ahead from the start and didn't need to invite in competitive allies
pdtb-wsj_1646-21,wsj_1646,5,as,sync,which have fallen into disfavor,China's leaders re-emphasize an orthodox Marxist preference for public ownership
pdtb-wsj_0509-13,wsj_0509,6,before,precede,he was an executive with a manufacturing concern,
pdtb-wsj_0041-68,wsj_0041,7,and,else,"the female voice purrs, ""That hazardous waste on his {Mr. Courter's} property -- the neighbors are suing for consumer fraud",the nose on Mr. Courter's face grows
pdtb-wsj_1803-2,wsj_1803,8,and,else,"rail, air and ocean-shipping links to the area escaped Tuesday's earthquake with only minor damage",many are expected to be operating normally today
