id,fold,rel,abbr,label,text1,text2
conet-236530-r,0,Causes,C,else,get depressed,hearing news
conet-16818502-r,1,HasPrerequisite,HPre,else,tell story,have listener
conet-16806849-r,2,HasPrerequisite,HPre,else,going for run,good condition
conet-16801991-r,3,HasPrerequisite,HPre,else,do housework,buy brooms
conet-237404-r,4,Causes,C,else,wishing luck,kissing
conet-235625-r,5,Causes,C,else,bullying,going to school
conet-16802276-r,6,HasPrerequisite,HPre,else,drinking alcohol,strong stomach
conet-323543-r,7,CausesDesire,CD,else,use vcr,wanting to watch tape
conet-16799667-r,8,HasPrerequisite,HPre,else,buying small,only modest amount of money
conet-236399-r,9,Causes,C,else,feeling refreshed,having rest
conet-242846-r,0,Causes,C,else,things burn,starting fire
conet-16818789-r,1,HasPrerequisite,HPre,else,travelling usually,staying at hotels
conet-16811964-r,2,HasPrerequisite,HPre,else,pay bills,gather bills checkbook pen and stamps
conet-319711-r,3,CausesDesire,CD,else,entertain,boredom
conet-239362-r,4,Causes,C,else,having fun,playing
conet-244353-r,5,Causes,C,else,become smarter,understanding better
conet-16795130-r,6,HasLastSubevent,HLS,else,pay stylist,cut hair
conet-16796342-r,7,HasLastSubevent,HLS,else,die happy,live
conet-236093-r,8,Causes,C,else,hit head,having epileptic fit
conet-16815749-r,9,HasPrerequisite,HPre,else,selling new book,interest
conet-319874-r,0,CausesDesire,CD,else,run twenty six miles,chance to earn prize
conet-16798295-r,1,HasPrerequisite,HPre,else,analysing,presence of mind
conet-16809244-r,2,HasPrerequisite,HPre,else,jumping at chance,being alert to opportunity
conet-16780915-r,3,HasFirstSubevent,HFS,else,play,pick game
conet-230357-r,4,Causes,C,else,death,catching mumps
conet-16817043-r,5,HasPrerequisite,HPre,else,staying fit,establishing routine
conet-16780125-r,6,HasFirstSubevent,HFS,else,go to work,boot computer
conet-16797186-r,7,HasLastSubevent,HLS,else,held to word,take oath
conet-321818-r,8,CausesDesire,CD,else,make friends,loneliness
conet-16806655-r,9,HasPrerequisite,HPre,else,go to sleep,take sleeping pill
conet-16798082-r,0,HasPrerequisite,HPre,else,acting in play,practicing one's lines
conet-234148-r,1,Causes,C,else,terrible,getting in line
conet-321132-r,2,CausesDesire,CD,else,go on strike,goons
conet-16817475-r,3,HasPrerequisite,HPre,else,surfing net,web browser
conet-232542-r,4,Causes,C,else,being late for work,eating breakfast
conet-16809281-r,5,HasPrerequisite,HPre,else,jumping up and down,being in standing position
conet-16780766-r,6,HasFirstSubevent,HFS,else,make sure you're healthy,visit doctor
conet-16797411-r,7,HasLastSubevent,HLS,else,dry chrome,wash car
conet-16782015-r,8,HasFirstSubevent,HFS,else,walk in rain,put up umbrella
conet-16808532-r,9,HasPrerequisite,HPre,else,hike,go outdoors
conet-16807398-r,0,HasPrerequisite,HPre,else,growing vegetables,sunshine
conet-236723-r,1,Causes,C,else,drawing attention to yourself,howling with laughter
conet-16798977-r,2,HasPrerequisite,HPre,else,breathe fresh air,go outside in country
conet-240588-r,3,Causes,C,else,being bored by editor,reading magazine
conet-16800177-r,4,HasPrerequisite,HPre,else,clean house,find broom
conet-16805981-r,5,HasPrerequisite,HPre,else,go outside for evening,get dressed up
conet-16804583-r,6,HasPrerequisite,HPre,else,get beautifull wife,go to portugal
conet-16820070-r,7,HasPrerequisite,HPre,else,watch tv,sit on couch
conet-16802895-r,8,HasPrerequisite,HPre,else,eat lunch,go to restaurant
conet-241672-r,9,Causes,C,else,entertainment,seeing movie
conet-321558-r,0,CausesDesire,CD,else,kill people,injustice
conet-16812765-r,1,HasPrerequisite,HPre,else,play poker,play game
conet-16797035-r,2,HasLastSubevent,HLS,else,close mouth,spit
conet-16796328-r,3,HasLastSubevent,HLS,else,talk,listen
conet-236897-r,4,Causes,C,else,increased self esteem,improving yourself
conet-16802171-r,5,HasPrerequisite,HPre,else,drill hole,get financing
conet-16795495-r,6,HasLastSubevent,HLS,else,rebuild,fight war
conet-242042-r,7,Causes,C,else,table to support cup,setting cup on table
conet-16820331-r,8,HasPrerequisite,HPre,else,work,have good health
conet-230676-r,9,Causes,C,else,social acceptance,cleaning clothing
conet-16806972-r,0,HasPrerequisite,HPre,else,going on strike,taking risk
conet-229815-r,1,Causes,C,else,one being cleared of crime,bringing in verdict
conet-16807804-r,2,HasPrerequisite,HPre,else,have haircut,remove glasses
conet-16817579-r,3,HasPrerequisite,HPre,else,take bath,fill tub with water
conet-16799728-r,4,HasPrerequisite,HPre,else,cash in,go to bank
conet-235791-r,5,Causes,C,else,seeing animals in cages,going to zoo
conet-16812106-r,6,HasPrerequisite,HPre,else,pay cash,use currency
conet-232091-r,7,Causes,C,else,tiredness,doing housework
conet-16798110-r,8,HasPrerequisite,HPre,else,add up column of numbers,turn on calculator
conet-16819240-r,9,HasPrerequisite,HPre,else,visiting art gallery,sight
conet-232007-r,0,Causes,C,else,breathing hard,doing exercises
conet-236823-r,1,Causes,C,else,hostility,ignorance
conet-16811772-r,2,HasPrerequisite,HPre,else,paint picture,stay in lines
conet-236429-r,3,Causes,C,else,pregnancy wanted,having sex
conet-16807795-r,4,HasPrerequisite,HPre,else,have haircut,go to hairdressers
conet-239631-r,5,Causes,C,else,get better at playing chess,playing game of chess
conet-16801818-r,6,HasPrerequisite,HPre,else,diminish own hunger,eat and eat and eat
conet-16800003-r,7,HasPrerequisite,HPre,else,chew food,place in mouth
conet-16809005-r,8,HasPrerequisite,HPre,else,involved in accident,join emergency services
conet-16820219-r,9,HasPrerequisite,HPre,else,water plant,use water can
conet-16814169-r,0,HasPrerequisite,HPre,else,reading letter,words
conet-16817241-r,1,HasPrerequisite,HPre,else,strike match,open matchbox
conet-242586-r,2,Causes,C,else,sound,sound
conet-16779709-r,3,HasFirstSubevent,HFS,else,find truth,understand implications
conet-238104-r,4,Causes,C,else,clothing fitting better,losing weight
conet-16817582-r,5,HasPrerequisite,HPre,else,take bath,get large ammount of water
conet-16809651-r,6,HasPrerequisite,HPre,else,know if you're healthy,consult with physician
conet-16816144-r,7,HasPrerequisite,HPre,else,sit on chair,bend over
conet-241974-r,8,Causes,C,else,wait tables,serving customers
conet-229766-r,9,Causes,C,else,silence,breathing fresh air
conet-243855-r,0,Causes,C,else,wear out shoes,taking walk
conet-235584-r,1,Causes,C,else,could get food poisoning,going to restaurant
conet-16814626-r,2,HasPrerequisite,HPre,else,return to work,el
conet-16807373-r,3,HasPrerequisite,HPre,else,grow vegetables,obtain seeds
conet-16804116-r,4,HasPrerequisite,HPre,else,finding truth,courage
conet-231552-r,5,Causes,C,else,international recognition,creating to help other people
conet-16812531-r,6,HasPrerequisite,HPre,else,play game,recruit players
conet-245037-r,7,Causes,C,else,clean,washing car
conet-239001-r,8,Causes,C,else,stains on floor,painting
conet-242501-r,9,Causes,C,else,people hating,snoring
conet-16810565-r,0,HasPrerequisite,HPre,else,love else,get divorce
conet-229848-r,1,Causes,C,else,verdict,bringing suit
conet-232548-r,2,Causes,C,else,energy to leave house,eating breakfast
conet-237522-r,3,Causes,C,else,dysfunction,learning
conet-16819440-r,4,HasPrerequisite,HPre,else,wait tables,polite
conet-16819431-r,5,HasPrerequisite,HPre,else,wait tables,get job at resteraunt
conet-16795532-r,6,HasLastSubevent,HLS,else,smile,flirt
conet-242238-r,7,Causes,C,else,no longer standing,sitting on chair
conet-16779706-r,8,HasFirstSubevent,HFS,else,find truth,become enlightened
conet-16799684-r,9,HasPrerequisite,HPre,else,calculate things quickly,learn math
conet-238351-r,0,Causes,C,else,side effects,making better world
conet-244570-r,1,Causes,C,else,masturbate,viewing film at home
conet-16798240-r,2,HasPrerequisite,HPre,else,agree with,say ok right
conet-16797344-r,3,HasLastSubevent,HLS,else,rewind ready for next time,view video
conet-244760-r,4,Causes,C,else,get impatient,waiting in line
conet-232025-r,5,Causes,C,else,muscle growth,doing exercises
conet-232871-r,6,Causes,C,else,illness,eating quickly
conet-16797117-r,7,HasLastSubevent,HLS,else,leave beach,surf
conet-16805911-r,8,HasPrerequisite,HPre,else,go on strike,prepare
conet-243286-r,9,Causes,C,else,annoyance,surprising
conet-16803238-r,0,HasPrerequisite,HPre,else,enjoy film,know where film playing
conet-16817065-r,1,HasPrerequisite,HPre,else,staying in bed,bed
conet-245167-r,2,Causes,C,else,depression,watching evening news
conet-320549-r,3,CausesDesire,CD,else,drive to work,enjoyable job
conet-16780037-r,4,HasFirstSubevent,HFS,else,go to concert,scream
conet-16802787-r,5,HasPrerequisite,HPre,else,eat ice cream,enjoy
conet-16817315-r,6,HasPrerequisite,HPre,else,study for subject,go to school
conet-238652-r,7,Causes,C,else,talk,meeting friend
conet-321044-r,8,CausesDesire,CD,else,surf,going to beach
conet-16818920-r,9,HasPrerequisite,HPre,else,urinating,having urethra
conet-16820725-r,0,HasPrerequisite,HPre,else,writing term paper,doing research
conet-16804500-r,1,HasPrerequisite,HPre,else,gather energy for tomorrow,rest today
conet-229047-r,2,Causes,C,else,total of accumalated numbers,adding up column of numbers
conet-240026-r,3,Causes,C,else,people to enjoy music,playing violin
conet-236600-r,4,Causes,C,else,dying,heart attack
conet-16803332-r,5,HasPrerequisite,HPre,else,entertain people,charming
conet-245265-r,6,Causes,C,else,sexual arousal,watching pornography
conet-240230-r,7,Causes,C,else,large family,procreating
conet-16819314-r,8,HasPrerequisite,HPre,else,wait for,bring book to read
conet-16799612-r,9,HasPrerequisite,HPre,else,buying fresh fruits and vegetables,good produce market
conet-245411-r,0,Causes,C,else,make plant grow,watering plant
conet-16799761-r,1,HasPrerequisite,HPre,else,catch mumps,get exposed to mumps
conet-16820191-r,2,HasPrerequisite,HPre,else,water plant,get hose
conet-243874-r,3,Causes,C,else,hurt feelings,talking
conet-245405-r,4,Causes,C,else,grows,watering plant
conet-236301-r,5,Causes,C,else,go into rehab,having nervous breakdown
conet-16803675-r,6,HasPrerequisite,HPre,else,feed family,get job and buy food
conet-237301-r,7,Causes,C,else,get arrested,killing people
conet-16805015-r,8,HasPrerequisite,HPre,else,get physical activity,go outside and take walk
conet-16806028-r,9,HasPrerequisite,HPre,else,go public,tell family first
conet-16802728-r,0,HasPrerequisite,HPre,else,eat hamburger,go to burger king
conet-16816114-r,1,HasPrerequisite,HPre,else,singing song,know melody and lyrics
conet-230082-r,2,Causes,C,else,dinner,buying hamburger
conet-240159-r,3,Causes,C,else,winning,preparing for vote
conet-16819364-r,4,HasPrerequisite,HPre,else,wait in line,thinking
conet-241507-r,5,Causes,C,else,connection to past,seeing artifacts
conet-16804521-r,6,HasPrerequisite,HPre,else,gathering energy for tomorrow,turning down invitation
conet-16801886-r,7,HasPrerequisite,HPre,else,dive,find deep water
conet-239360-r,8,Causes,C,else,getting tired,playing
conet-16814891-r,9,HasPrerequisite,HPre,else,run errands,take wallet with
conet-16817249-r,0,HasPrerequisite,HPre,else,strike match,use surface
conet-228995-r,1,Causes,C,else,big ego,acting in play
conet-16802865-r,2,HasPrerequisite,HPre,else,eat in restaurant,park car
conet-16800400-r,3,HasPrerequisite,HPre,else,cogitate,go someplace quiet
conet-16806515-r,4,HasPrerequisite,HPre,else,go to play,take interest in drama
conet-232255-r,5,Causes,C,else,car sickness,driving
conet-16808732-r,6,HasPrerequisite,HPre,else,illustrate point,gesture with hands
conet-244274-r,7,Causes,C,else,arthritis pain,tying shoelace
conet-16814595-r,8,HasPrerequisite,HPre,else,rest,not hurry
conet-233801-r,9,Causes,C,else,make one wealthier,gaining more land
conet-236928-r,0,Causes,C,else,going to court,instituting civil action
conet-319136-r,1,CausesDesire,CD,else,go to opera,appreciation for opera
conet-16812561-r,2,HasPrerequisite,HPre,else,play game of chess,set up chessboard
conet-230919-r,3,Causes,C,else,go to prison,committing perjury
conet-239226-r,4,Causes,C,else,get to keep purchase,paying by check
conet-16779873-r,5,HasFirstSubevent,HFS,else,get physical activity,warm up
conet-16806831-r,6,HasPrerequisite,HPre,else,going for jog,good pair of running shoes
conet-16818048-r,7,HasPrerequisite,HPre,else,taking break,take break from
conet-229824-r,8,Causes,C,else,court date,bringing suit
conet-16778940-r,9,HasFirstSubevent,HFS,else,become scuba diver,buy proper equipment
