pairid,split
00063_10#00063_10_1,train
00063_10#00063_10_2,train
00063_10#00063_10_3,train
00317_15#00317_15_1,train
00317_15#00317_15_2,train
00317_15#00317_15_3,train
00397_3#00397_3_1,train
00397_3#00397_3_2,train
00397_3#00397_3_3,train
00397_3#00397_3_4,train
00397_3#00397_3_6,train
00434_1#00434_1_1,train
00434_1#00434_1_2,train
00434_1#00434_1_3,train
00434_1#00434_1_4,train
00434_1#00434_1_5,train
00434_1#00434_1_6,train
00434_1#00434_1_7,train
00434_5#00434_5_1,train
00434_5#00434_5_2,train
00434_5#00434_5_3,train
00434_5#00434_5_4,train
00434_5#00434_5_5,train
00434_5#00434_5_6,train
00434_5#00434_5_7,train
00434_5#00434_5_8,train
00434_5#00434_5_9,train
00460_3#00460_3_1,train
00460_3#00460_3_2,train
00460_3#00460_3_3,train
00643_9#00643_9_1,train
00643_9#00643_9_2,train
00643_9#00643_9_3,train
00643_9#00643_9_4,train
00643_9#00643_9_5,train
00643_9#00643_9_6,train
00793_2#00793_2_1,train
00793_2#00793_2_2,train
00793_2#00793_2_3,train
00793_2#00793_2_4,train
00862_3#00862_3_1,train
00862_3#00862_3_10,train
00862_3#00862_3_11,train
00862_3#00862_3_2,train
00862_3#00862_3_3,train
00862_3#00862_3_4,train
00862_3#00862_3_5,train
00862_3#00862_3_6,train
00862_3#00862_3_7,train
00862_3#00862_3_8,train
00862_3#00862_3_9,train
00915_4#00915_4_1,train
00915_4#00915_4_12,train
00915_4#00915_4_20,train
00915_4#00915_4_6,train
00915_4#00915_4_9,train
00915_9#00915_9_2,train
00915_9#00915_9_3,train
00915_9#00915_9_4,train
00924_3#00924_3_1,train
00924_3#00924_3_2,train
00924_3#00924_3_3,train
00925_6#00925_6_1,train
00925_6#00925_6_2,train
00925_6#00925_6_3,train
01026_1#01026_1_1,train
01026_1#01026_1_10,train
01026_1#01026_1_11,train
01026_1#01026_1_12,train
01026_1#01026_1_13,train
01026_1#01026_1_14,train
01026_1#01026_1_2,train
01026_1#01026_1_3,train
01026_1#01026_1_4,train
01026_1#01026_1_5,train
01026_1#01026_1_6,train
01026_1#01026_1_7,train
01026_1#01026_1_8,train
01026_1#01026_1_9,train
01101_13#01101_13_1,train
01101_13#01101_13_2,train
01101_13#01101_13_3,train
01101_13#01101_13_4,train
01101_13#01101_13_5,train
01151_19#01151_19_1,train
01151_19#01151_19_2,train
01151_19#01151_19_3,train
01151_19#01151_19_4,train
00002_1#00002_1_1,train
00002_1#00002_1_2,train
00002_1#00002_1_3,train
00002_1#00002_1_4,train
00112_7#00112_7_1,train
00112_7#00112_7_2,train
00112_7#00112_7_3,train
00112_7#00112_7_4,train
00112_7#00112_7_5,train
00112_7#00112_7_6,train
00112_7#00112_7_7,train
00112_7#00112_7_8,train
00126_11#00126_11_1,train
00126_11#00126_11_2,train
00126_11#00126_11_3,train
00126_11#00126_11_4,train
00126_11#00126_11_5,train
00130_3#00130_3_1,train
00130_3#00130_3_2,train
00130_3#00130_3_3,train
00183_1#00183_1_1,train
00183_1#00183_1_2,train
00183_1#00183_1_3,train
00183_1#00183_1_4,train
00183_1#00183_1_5,train
00183_1#00183_1_6,train
00183_6#00183_6_1,train
00183_6#00183_6_2,train
00183_6#00183_6_3,train
00183_6#00183_6_4,train
00196_15#00196_15_1,train
00196_15#00196_15_10,train
00196_15#00196_15_2,train
00196_15#00196_15_3,train
00196_15#00196_15_4,train
00196_15#00196_15_5,train
