id,fname,fold,connective,label,text1,text2
pdtb-wsj_1221-4-r,wsj_1221,0,finally,else,The acquisition was completed in September,"Anthony Wang, president, attributed the drop to the disruption of the company's business resulting from the prolonged process of acquiring Cullinet"
pdtb-wsj_1778-48-r,wsj_1778,1,finally,else,I decided to brave the storm,"I couldn't decide if I should come home to Marin, because my house is on stilts"
pdtb-wsj_2140-10-r,wsj_2140,2,eventually,else,In the year 2000 it will be one car per family,"Currently only one in 38 South Koreans owns a car, up from one in 200 a decade ago"
pdtb-wsj_0692-54-r,wsj_0692,3,then,else,recalculating the remaining program using a more probable inflation estimate,adding the negative wedge
pdtb-wsj_1146-80-r,wsj_1146,4,while,sync,eyeing the ground with a look both helpless and sardonic,"In patched pants and torn shoes, he stands in his barnyard"
pdtb-wsj_1749-4-r,wsj_1749,5,while,sync,"Net income fell 8.6% to $37.1 million, or $1.43 a share, from $40.6 million, or $1.56 a share","Loral's profit from continuing operations for the first six months of fiscal 1990 was $36.4 million, or $1.44 a share, up 31% from $27.8 million, or $1.11 a share, a year earlier"
pdtb-wsj_1203-57-r,wsj_1203,6,then,else,"The industrial average recovered to close only 3.69 points lower, but petroleum futures never shook off the chill",an early 80-point drop in the Dow Jones Industrial Average stopped the crude rally cold
pdtb-wsj_1303-31-r,wsj_1303,7,then,else,the woman driver said: `Americans make better fishermen,"Exhausted, I got into a taxicab"
pdtb-wsj_1331-56-r,wsj_1331,8,eventually,else,that no objections were raised,the trial team that represented Mr. Bundy was asked by the firm's pro bono committee whether the new case posed a conflict
pdtb-wsj_0267-52-r,wsj_0267,9,then,else,married the daughter of his court clerk,divorced his first wife three years ago
pdtb-wsj_0909-51-r,wsj_0909,0,afterwards,else,She worked part-time as a consultant and wrote a book,"Anne Burford, the former EPA chief who resigned under fire in 1983 during a flap with Congress, was kayoed in the confrontation"
pdtb-wsj_2102-41-r,wsj_2102,1,subsequently,else,An anonymous caller to a local radio station said cocaine traffickers had slain the magistrate in retaliation for the extraditions of Colombians wanted on drug charges in the U.S,An assassin in Colombia killed a federal judge on a Medellin street
pdtb-wsj_2112-55-r,wsj_2112,2,then,else,grab him by the throat,leap from behind some statue of Marshall onto Cap's chest
pdtb-wsj_1556-41-r,wsj_1556,3,while,sync,"Big franchise groups ""can ride out the storm a lot longer",Smaller chains and single-store operators will be the first to fail
pdtb-wsj_2239-26-r,wsj_2239,4,then,else,staged a modest comeback as stock prices firmed,opened as much as four points lower
pdtb-wsj_1027-0-r,wsj_1027,5,after,else,"Richard D. Sutton, 64 years old, chairman of this bank-holding company, was named acting president and chief executive officer of the company and its First National Bank of Toms River subsidiary","Joseph W. Robertson, 61, was dismissed from those posts"
pdtb-wsj_0071-12-r,wsj_0071,6,meanwhile,sync,The classics have zoomed in price to meet the competition,"In the last year or so, however, this exclusive club has taken in a host of flashy new members"
pdtb-wsj_1171-47-r,wsj_1171,7,then,else,"With 15 seconds of trading to go, Mr. Jacobson announced to the trading mob: ""We're going to trade one price on the bell","The Bear Stearns order that marked the late-day turnaround caused a ""massive buying effort"" as UAL jumped $20 a share to $170 in the last half hour"
pdtb-wsj_1394-77-r,wsj_1394,8,then,else,"In the early 1970s, Mr. Smith modeled his fledgling company on Tiger's innovation of hub-and-spoke and containerized-cargo operations","Tiger itself was founded by a band of gungho airmen who had airlifted supplies ""over the Hump"" from India to China during World War II"
pdtb-wsj_2446-10-r,wsj_2446,9,then,else,"Lincoln's parent company, American Continental Corp., entered bankruptcy-law proceedings this April 13, and regulators seized the thrift the next day","For the next two years, the Bank Board, which at the time was the agency responsible for regulating thrifts, failed to act -- even after federal auditors warned in May 1987 that Mr. Keating had caused Lincoln to become insolvent"
pdtb-wsj_1336-3-r,wsj_1336,0,while,sync,Sales gained 16% to $1.03 billion from $894 million,"For the nine months, net income rose 48% to $124.2 million, or $1.41 a share, from $83.8 million, or 96 cents a share a year earlier"
pdtb-wsj_1677-48-r,wsj_1677,1,then,else,put in a data base,coded
pdtb-wsj_2232-72-r,wsj_2232,2,meanwhile,sync,"Around him, scores of traders seemed to get a burst of energy","Grinned Griffith Peck, a trader in Shearson Lehman Hutton Inc. 's OTC department: ""I tell you, this market acts healthy"
pdtb-wsj_1709-4-r,wsj_1709,3,while,sync,Revenue dropped 5.4% to $3.48 billion from $3.68 billion,"Nine-month net fell 9.5% to $323.4 million, or $1.36 a share, from $357.2 million, or $1.32 a share, a year earlier"
pdtb-wsj_1367-116-r,wsj_1367,4,then,else,attended secretarial school,received her first U.S. paycheck for proofreading a book of Polish poetry
pdtb-wsj_1121-52-r,wsj_1121,5,while,sync,Laboring in blue and gray overalls,they are supposed to concentrate on cleaning out crevices
pdtb-wsj_1171-9-r,wsj_1171,6,while,sync,Munching pizza when they could,the two Benjamin Jacobson specialists at the Big Board's UAL trading post yesterday presided over what can only be described as a financial free-for-all
pdtb-wsj_1757-5-r,wsj_1757,7,while,sync,Revenue increased 22% to $2.5 billion from $2.1 billion,"In the nine months, net rose 35% to $120.1 million, or $1.64 a share, from $89.2 million, or $1.22 a share, a year earlier"
pdtb-wsj_1019-5-r,wsj_1019,8,while,sync,overseeing his first public meeting,"New SEC Chairman Richard Breeden said there have been concerns that the Big Board's basket could attract investors with a ""short-term perspective"" who would rapidly turn over the product, thus increasing volatility"
