id,fold,label,target,text
subjlex-217,0,neg,,aggression
subjlex-2523,1,neg,,equivocal
subjlex-2603,2,neg,,excessively
subjlex-2742,3,neg,,fake
subjlex-4277,4,neg,,interference
subjlex-5020,5,neg,,monstrously
subjlex-8028,6,neg,,wary
subjlex-5763,7,neu,,pressure
subjlex-1936,8,neg,,disappointing
subjlex-7920,9,neg,,veto
subjlex-6748,0,neg,,slander
subjlex-4678,1,neg,,loss
subjlex-62,2,pos,,accede
subjlex-2211,3,neg,,domineering
subjlex-3509,4,pos,,help
subjlex-6964,5,neu,,stance
subjlex-326,6,neu,,amplify
subjlex-5612,7,neu,,pleading
subjlex-4860,8,neu,,memories
subjlex-5951,9,pos,,quasi-ally
subjlex-2484,0,pos,,enthral
subjlex-2265,1,pos,,driven
subjlex-3675,2,neg,,ill
subjlex-5062,3,neg,,mudslinging
subjlex-453,4,neg,,arduous
subjlex-6150,5,pos,,relevant
subjlex-538,6,neg,,atrocity
subjlex-3115,7,neg,,fume
subjlex-2906,8,pos,,fine
subjlex-6544,9,neg,,seething
subjlex-7661,0,pos,,unencumbered
subjlex-4438,1,neg,,jumpy
subjlex-6147,2,neg,,relentless
subjlex-6153,3,pos,,reliability
subjlex-7682,4,neg,,unfit
subjlex-6710,5,pos,,simplify
subjlex-4611,6,neg,,licentiousness
subjlex-5272,7,neg,,omit
subjlex-2495,8,neu,,entire
subjlex-5451,9,pos,,passion
subjlex-6302,0,neg,,revert
subjlex-6961,1,neg,,stampede
subjlex-2141,2,neg,,distaste
subjlex-5718,3,pos,,preaching
subjlex-4347,4,neg,,irrational
subjlex-2620,5,pos,,excusable
subjlex-338,6,neg,,anarchy
subjlex-7415,7,neg,,tiring
subjlex-6855,8,pos,,soothingly
subjlex-4729,9,pos,,luster
subjlex-4176,0,neg,,insanity
subjlex-1628,1,neg,,decrease
subjlex-2504,2,neu,,entrenchment
subjlex-7863,3,pos,,usable
subjlex-3473,4,neg,,heartbreakingly
subjlex-2793,5,neg,,fascism
subjlex-2531,6,neg,,erratically
subjlex-4942,7,neg,,misdirection
subjlex-640,8,neg,,barely
subjlex-4814,9,pos,,marvelously
subjlex-4317,0,neg,,invalidate
subjlex-3209,1,pos,,glamorous
subjlex-6088,2,pos,,redeeming
subjlex-6603,3,neg,,seriousness
subjlex-7347,4,neg,,terror-genic
subjlex-2794,5,neg,,fascist
subjlex-604,6,neu,,baby
subjlex-252,7,neg,,airs
subjlex-6675,8,neg,,shriek
subjlex-4714,9,neg,,lugubrious
subjlex-142,0,pos,,admit
subjlex-5753,1,pos,,premium
subjlex-8128,2,pos,,wisely
subjlex-689,3,neg,,beleaguer
subjlex-4501,4,neg,,lament
subjlex-957,5,neg,,bully
subjlex-7797,6,neg,,unsteady
subjlex-7487,7,neg,,travesties
subjlex-5296,8,neg,,opposition
subjlex-7131,9,neg,,substandard
subjlex-291,0,pos,,altruist
subjlex-4158,1,pos,,innocently
subjlex-3968,2,neg,,indefensible
subjlex-55,3,neg,,abuse
subjlex-6280,4,neg,,reticent
subjlex-2125,5,neg,,dissention
subjlex-2675,6,neg,,expulse
subjlex-1752,7,neg,,deprave
subjlex-4780,8,neg,,malignant
subjlex-6880,9,pos,,sparkle
subjlex-2377,0,pos,,eloquence
subjlex-6126,1,pos,,rehabilitate
subjlex-6250,2,pos,,resounding
subjlex-3960,3,neg,,indecently
subjlex-1171,4,neg,,cold
subjlex-1672,5,neg,,defrauding
subjlex-138,6,pos,,admiring
subjlex-6022,7,pos,,re-conquest
subjlex-2624,8,neg,,excuses
subjlex-2481,9,pos,,enterprising
subjlex-7211,0,pos,,surely
