id,fold,type,label,text1,text2
because-20020731-nyt.ann-E162-r,0,Consequence,else,The verdict should be annulled,his prosecution is an abrogation of the most basic standards of justice
because-1854675.ann-E13-r,1,Motivation,else,its fighters largely stay underground,the Israeli occupation
because-CHRG-111shrg61651.ann-E30-r,2,Motivation,else,I believe as a part of a comprehensive reform that Mr. Volcker's idea with regard to separation of some of these functions makes a lot of sense,I am concerned about the economics
because-CHRG-110hhrg44900-1.ann-E45-r,3,Consequence,else,another Bear Stearns,specific indicators
because-wsj_1700.ann-E2-r,4,Consequence,else,communist domination,the Western powers
because-1820510.ann-E6-r,5,Purpose,else,he did not use ``specific language'',order his soldiers to kill all military-age males
because-1851302.ann-E9-r,6,Consequence,else,"enforcement inside the United States, including discriminatory raids, will become redundant","every Mexican in the United States who arrived before Jan. 1, 2007, is legalized"
because-1854691.ann-E4-r,7,Motivation,else,he and Sergeant Wuterich pursued the men into the house,observing them ``turkey peeking'' at their squad's convoy from behind a wall nearby
because-CHRG-110hhrg44900-2.ann-E32-r,8,Motivation,else,I would just like to thank them,what has been excellent work in very difficult circumstances
because-wsj_2004.ann-E1-r,9,Consequence,else,Messrs. Wolf and Pope saw their prospective personal fortunes continue to plummet,"shares of UAL, United's parent company, dived $24.875 on the Big Board to close at $198"
because-wsj_1446.ann-E1-r,0,Purpose,else,he isn't using the telephone,lure clients to his doorstep
because-wsj_1829.ann-E10-r,1,Motivation,else,workers were asked to head to work yesterday,it was realized that ``there were no show-stoppers'' in the 150-plus buildings on its one-square-mile campus
because-CHRG-110hhrg44900-1.ann-E81-r,2,Motivation,else,thank Congressman Garrett,his leadership on this issue
because-1854573.ann-E12-r,3,Purpose,else,what Al Qaeda and other groups do,win recruits
because-wsj_1446.ann-E16-r,4,Motivation,else,settle with Drexel,the firm's guilty plea to federal insider-trading charges
because-wsj_1504.ann-E10-r,5,Motivation,else,"the court members asked many questions, then the chairman said they would like to hear his manager's side and talk to witnesses",he was through
because-1851265.ann-E15-r,6,Consequence,else,not be a blanket provision,nuanced enough
because-1821059.ann-E6-r,7,Consequence,else,Parliament's relevance has gradually receded,chaos has deepened
because-CHRG-111shrg61651.ann-E31-r,8,Motivation,else,I believe as a part of a comprehensive reform that Mr. Volcker's idea with regard to separation of some of these functions makes a lot of sense,I am concerned of the nature of the impact that these various activities have on the players and the financial markets
because-1855590.ann-E1-r,9,Consequence,else,political reconciliation,the persistent car and suicide bombings
because-1852160.ann-E21-r,0,Motivation,else,I don't know what is,that is not a form of amnesty
because-1855404.ann-E17-r,1,Consequence,else,The other two were killed on Saturday in Baghdad,injuries caused by an explosion
