pairid,argid,propid_to,propid_from,text_to,text_from,relation,abduct_3_cause,abduct_3_obstruct
00726_3#00726_3_6,00726,00726_3,00726_3_6,The US government should fund embryonic stem cell research.,"Some supporters of research ask, if destroying an embryo is ""murder"" then why isn""t it outlawed - that it is highly unlikely that it will be outlawed and that the private funding of the destruction of embryos for research continues unabated may undermine the argument that it is ""murder"":",1,7.882564386818558e-05,0.00010174563794862479
00452_6#00452_6_19,00452,00452_6,00452_6_19,This House believes that downloading music and films from the Internet should be prohibited.,"According to ""The Effect of File Sharing on Record Sales"" by Felix Oberholzer-Gee (Harvard professor) and Koleman Strumpf, p2p services could actually work as marketing tools for the music industry.",-1,0.0006489335210062563,7.305199687834829e-05
00145_5#00145_5_22,00145,00145_5,00145_5_22,Unregulated distribution of copyrighted works over Internet should be allowed.,"According to ""The Effect of File Sharing on Record Sales"" by Felix Oberholzer-Gee (Harvard professor) and Koleman Strumpf, p2p services could actually work as marketing tools for the music industry.",1,0.0005181252490729094,6.226587720448151e-05
00800_5#00800_5_9,00800,00800_5,00800_5_9,The US federal government should increase the minimum wage.,Some argue it will decrease the quality of human capitol over time by discouraging people to remain in school or return for a higher education because these people might find that they can earn enough without the extra cost (in time and money) of schooling.,-1,6.632696749875322e-05,9.072869579540566e-05
00211_5#00211_5_2,00211,00211_5,00211_5_2,The US federal government should increase the minimum wage.,Some argue it will decrease the quality of human capitol over time by discouraging people to remain in school or return for a higher education because these people might find that they can earn enough without the extra cost (in time and money) of schooling.,-1,6.632696749875322e-05,9.072869579540566e-05
00800_7#00800_7_52,00800,00800_7,00800_7_52,The US federal government should increase the minimum wage.,"Argument that low-wage job-seekers lack negotiating power and knowledge of their own worth, that any negotiated wage may not reflect the real market value of labor, and that raising the minimum wage would solve this problem for minimum wage workers:",1,0.0001316367124672979,1.1221809472772293e-05
00211_7#00211_7_50,00211,00211_7,00211_7_50,The US federal government should increase the minimum wage.,"Argument that low-wage job-seekers lack negotiating power and knowledge of their own worth, that any negotiated wage may not reflect the real market value of labor, and that raising the minimum wage would solve this problem for minimum wage workers:",1,0.0001316367124672979,1.1221809472772293e-05
00889_20#00889_20_2,00889,00889_20,00889_20_2,Tibet should seek and gain independence.,"Tibet has been autonomous within China but never independent""Tibet: Chinas policy paper on Tibet"". Information Office of the State Council of the Peoples Republic of China. May 2004- ""I. The Establishment and Development of Regional Ethnic Autonomy in Tibet",-1,5.802940358989872e-05,3.949777237721719e-05
00726_6#00726_6_7,00726,00726_6,00726_6_7,The US government should fund embryonic stem cell research.,"Because adult stem cells are already in clinical use, they may be more practical than embryonic stem cells to move forward with:World of Stem Cells ""Advantages and Disadvantages of Adult Stem Cells over Embryonic Stem Cells""",-1,7.656875823158771e-05,3.389898483874276e-05
00800_1#00800_1_6,00800,00800_1,00800_1_6,The US federal government should increase the minimum wage.,"Claim that raising the minimum wage would also force employers to raise the wages of employees that were well above the minimum wage (""wage creep""):According to a NYTimes Op-ed 1/3/06",-1,5.1437185902614146e-05,3.674087201943621e-05
00211_1#00211_1_13,00211,00211_1,00211_1_13,The US federal government should increase the minimum wage.,"Claim that raising the minimum wage would also force employers to raise the wages of employees that were well above the minimum wage (""wage creep""):According to a NYTimes Op-ed 1/3/06",-1,5.1437185902614146e-05,3.674087201943621e-05
00726_3#00726_3_3,00726,00726_3,00726_3_3,The US government should fund embryonic stem cell research.,"Human ""life"" begins at ""conception"", when a sperm fertilizes an egg cell, making the destruction of an embryo at any point beyond ""conception""  the destruction of ""human life"":",-1,6.985617073951289e-05,7.450028351740912e-05
00449_5#00449_5_3,00449,00449_5,00449_5_3,"It is ethical for colleges, parents, or employers to get information about people from social networking websites.","Privacy is a very important element of the social contract, and helps foster individuality and free expression, but is undermined by the extent of access of these groups.",-1,0.00012017233530059457,2.478026544849854e-05
00164_9#00164_9_3,00164,00164_9,00164_9_3,Gay couples should be given the same legal rights as heterosexuals in adopting children.,"There is no scientific basis for concluding that gay and lesbian parents are any less fit or capable than heterosexual parents, or that their children are any less psychologically healthy and well adjusted.",1,7.159000233514234e-05,3.836416362901218e-05
00108_3#00108_3_3,00108,00108_3,00108_3_3,The present international ban on trading elephant ivory should be lifted.,"The 1999 relaxation of CITES controls coincided with a fivefold upsurge in poaching in Kenya and a similar increase in India, as criminals assumed that legal sales would soon be allowed once again.",-1,6.740643584635109e-05,3.967191150877625e-05
00250_3#00250_3_1,00250,00250_3,00250_3_1,The present international ban on trading elephant ivory should be lifted.,"The 1999 relaxation of CITES controls coincided with a fivefold upsurge in poaching in Kenya and a similar increase in India, as criminals assumed that legal sales would soon be allowed once again.",-1,6.740643584635109e-05,3.967191150877625e-05
00964_5#00964_5_1,00964,00964_5,00964_5_1,It is right for Governments to restrict freedom of speech.,"Irrespective of its US provenance, we recognise that ""the most stringent protection of free speech would not protect a man in falsely shouting fire in a theatre and causing a panic.""",1,8.33083686302416e-05,0.0002714410948101431
00670_5#00670_5_1,00670,00670_5,00670_5_1,It is right for Governments to restrict freedom of speech.,"Irrespective of its US provenance, we recognise that ""the most stringent protection of free speech would not protect a man in falsely shouting fire in a theatre and causing a panic.""",1,8.33083686302416e-05,0.0002714410948101431
00090_8#00090_8_37,00090,00090_8,00090_8_37,Society should ban or restrict the sale and use of violent video games.,"Counter-argument to...""Myth 11. If violent video games cause increases in aggression, violent crime rates in the U.S. would be increasing instead of decreasing.",1,6.215478060767055e-05,2.682705962797627e-05
00874_8#00874_8_35,00874,00874_8,00874_8_35,Society should ban or restrict the sale and use of violent video games.,"Counter-argument to...""Myth 11. If violent video games cause increases in aggression, violent crime rates in the U.S. would be increasing instead of decreasing.",1,6.215478060767055e-05,2.682705962797627e-05
00800_7#00800_7_15,00800,00800_7,00800_7_15,The US federal government should increase the minimum wage.,Contention that a minimum wage increase is due in historical perspective; that it had been too long since a minimum wage increase and that the purchasing power of the minimum wage level is at an historic low:,1,5.386347038438544e-05,1.7983029465540312e-05
00211_7#00211_7_1,00211,00211_7,00211_7_1,The US federal government should increase the minimum wage.,Contention that a minimum wage increase is due in historical perspective; that it had been too long since a minimum wage increase and that the purchasing power of the minimum wage level is at an historic low:,1,5.386347038438544e-05,1.7983029465540312e-05
00090_8#00090_8_16,00090,00090_8,00090_8_16,Society should ban or restrict the sale and use of violent video games.,"Williams (U of Illinois) and Marko Skoric (University in Singapore), ""Internet Fantasy Violence: A Test of Aggression in an Online Game, Communication Monographs, 2005",-1,0.0001728832139633596,0.00025128660490736365
