pairid,argid,propid_to,propid_from,text_to,text_from,relation,causal_3_cause,causal_3_obstruct
00726_3#00726_3_6,00726,00726_3,00726_3_6,The US government should fund embryonic stem cell research.,"Some supporters of research ask, if destroying an embryo is ""murder"" then why isn""t it outlawed - that it is highly unlikely that it will be outlawed and that the private funding of the destruction of embryos for research continues unabated may undermine the argument that it is ""murder"":",1,0.003978508058935404,5.361904186429456e-05
00452_6#00452_6_19,00452,00452_6,00452_6_19,This House believes that downloading music and films from the Internet should be prohibited.,"According to ""The Effect of File Sharing on Record Sales"" by Felix Oberholzer-Gee (Harvard professor) and Koleman Strumpf, p2p services could actually work as marketing tools for the music industry.",-1,0.0001168474045698531,0.00027779946685768664
00145_5#00145_5_22,00145,00145_5,00145_5_22,Unregulated distribution of copyrighted works over Internet should be allowed.,"According to ""The Effect of File Sharing on Record Sales"" by Felix Oberholzer-Gee (Harvard professor) and Koleman Strumpf, p2p services could actually work as marketing tools for the music industry.",1,0.0005320953205227852,0.0009024276514537632
00800_5#00800_5_9,00800,00800_5,00800_5_9,The US federal government should increase the minimum wage.,Some argue it will decrease the quality of human capitol over time by discouraging people to remain in school or return for a higher education because these people might find that they can earn enough without the extra cost (in time and money) of schooling.,-1,0.023785099387168884,3.909182851202786e-05
00211_5#00211_5_2,00211,00211_5,00211_5_2,The US federal government should increase the minimum wage.,Some argue it will decrease the quality of human capitol over time by discouraging people to remain in school or return for a higher education because these people might find that they can earn enough without the extra cost (in time and money) of schooling.,-1,0.023785099387168884,3.909182851202786e-05
00800_7#00800_7_52,00800,00800_7,00800_7_52,The US federal government should increase the minimum wage.,"Argument that low-wage job-seekers lack negotiating power and knowledge of their own worth, that any negotiated wage may not reflect the real market value of labor, and that raising the minimum wage would solve this problem for minimum wage workers:",1,0.9998179078102112,2.252826379844919e-05
00211_7#00211_7_50,00211,00211_7,00211_7_50,The US federal government should increase the minimum wage.,"Argument that low-wage job-seekers lack negotiating power and knowledge of their own worth, that any negotiated wage may not reflect the real market value of labor, and that raising the minimum wage would solve this problem for minimum wage workers:",1,0.9998179078102112,2.252826379844919e-05
00889_20#00889_20_2,00889,00889_20,00889_20_2,Tibet should seek and gain independence.,"Tibet has been autonomous within China but never independent""Tibet: Chinas policy paper on Tibet"". Information Office of the State Council of the Peoples Republic of China. May 2004- ""I. The Establishment and Development of Regional Ethnic Autonomy in Tibet",-1,0.9573485851287842,7.48469028621912e-05
00726_6#00726_6_7,00726,00726_6,00726_6_7,The US government should fund embryonic stem cell research.,"Because adult stem cells are already in clinical use, they may be more practical than embryonic stem cells to move forward with:World of Stem Cells ""Advantages and Disadvantages of Adult Stem Cells over Embryonic Stem Cells""",-1,0.8452058434486389,0.00014923328126315027
00800_1#00800_1_6,00800,00800_1,00800_1_6,The US federal government should increase the minimum wage.,"Claim that raising the minimum wage would also force employers to raise the wages of employees that were well above the minimum wage (""wage creep""):According to a NYTimes Op-ed 1/3/06",-1,0.9940881729125977,5.7663582992972806e-05
