id,fold,rel,abbr,label,text1,text2
conet-236530,0,Causes,C,cause,hearing news,get depressed
conet-16818502,1,HasPrerequisite,HPre,precede,have listener,tell story
conet-16806849,2,HasPrerequisite,HPre,precede,good condition,going for run
conet-16801991,3,HasPrerequisite,HPre,precede,buy brooms,do housework
conet-237404,4,Causes,C,cause,kissing,wishing luck
conet-235625,5,Causes,C,cause,going to school,bullying
conet-16802276,6,HasPrerequisite,HPre,precede,strong stomach,drinking alcohol
conet-323543,7,CausesDesire,CD,cause,wanting to watch tape,use vcr
conet-16799667,8,HasPrerequisite,HPre,precede,only modest amount of money,buying small
conet-236399,9,Causes,C,cause,having rest,feeling refreshed
conet-242846,0,Causes,C,cause,starting fire,things burn
conet-16818789,1,HasPrerequisite,HPre,precede,staying at hotels,travelling usually
conet-16811964,2,HasPrerequisite,HPre,precede,gather bills checkbook pen and stamps,pay bills
conet-319711,3,CausesDesire,CD,cause,boredom,entertain
conet-239362,4,Causes,C,cause,playing,having fun
conet-244353,5,Causes,C,cause,understanding better,become smarter
conet-16795130,6,HasLastSubevent,HLS,precede,cut hair,pay stylist
conet-16796342,7,HasLastSubevent,HLS,precede,live,die happy
conet-236093,8,Causes,C,cause,having epileptic fit,hit head
conet-16815749,9,HasPrerequisite,HPre,precede,interest,selling new book
conet-319874,0,CausesDesire,CD,cause,chance to earn prize,run twenty six miles
conet-16798295,1,HasPrerequisite,HPre,precede,presence of mind,analysing
conet-16809244,2,HasPrerequisite,HPre,precede,being alert to opportunity,jumping at chance
conet-16780915,3,HasFirstSubevent,HFS,precede,pick game,play
conet-230357,4,Causes,C,cause,catching mumps,death
conet-16817043,5,HasPrerequisite,HPre,precede,establishing routine,staying fit
conet-16780125,6,HasFirstSubevent,HFS,precede,boot computer,go to work
conet-16797186,7,HasLastSubevent,HLS,precede,take oath,held to word
conet-321818,8,CausesDesire,CD,cause,loneliness,make friends
conet-16806655,9,HasPrerequisite,HPre,precede,take sleeping pill,go to sleep
conet-16798082,0,HasPrerequisite,HPre,precede,practicing one's lines,acting in play
conet-234148,1,Causes,C,cause,getting in line,terrible
conet-321132,2,CausesDesire,CD,cause,goons,go on strike
conet-16817475,3,HasPrerequisite,HPre,precede,web browser,surfing net
conet-232542,4,Causes,C,cause,eating breakfast,being late for work
conet-16809281,5,HasPrerequisite,HPre,precede,being in standing position,jumping up and down
conet-16780766,6,HasFirstSubevent,HFS,precede,visit doctor,make sure you're healthy
conet-16797411,7,HasLastSubevent,HLS,precede,wash car,dry chrome
conet-16782015,8,HasFirstSubevent,HFS,precede,put up umbrella,walk in rain
conet-16808532,9,HasPrerequisite,HPre,precede,go outdoors,hike
conet-16807398,0,HasPrerequisite,HPre,precede,sunshine,growing vegetables
conet-236723,1,Causes,C,cause,howling with laughter,drawing attention to yourself
conet-16798977,2,HasPrerequisite,HPre,precede,go outside in country,breathe fresh air
conet-240588,3,Causes,C,cause,reading magazine,being bored by editor
conet-16800177,4,HasPrerequisite,HPre,precede,find broom,clean house
conet-16805981,5,HasPrerequisite,HPre,precede,get dressed up,go outside for evening
conet-16804583,6,HasPrerequisite,HPre,precede,go to portugal,get beautifull wife
conet-16820070,7,HasPrerequisite,HPre,precede,sit on couch,watch tv
conet-16802895,8,HasPrerequisite,HPre,precede,go to restaurant,eat lunch
conet-241672,9,Causes,C,cause,seeing movie,entertainment
conet-321558,0,CausesDesire,CD,cause,injustice,kill people
conet-16812765,1,HasPrerequisite,HPre,precede,play game,play poker
conet-16797035,2,HasLastSubevent,HLS,precede,spit,close mouth
conet-16796328,3,HasLastSubevent,HLS,precede,listen,talk
conet-236897,4,Causes,C,cause,improving yourself,increased self esteem
conet-16802171,5,HasPrerequisite,HPre,precede,get financing,drill hole
conet-16795495,6,HasLastSubevent,HLS,precede,fight war,rebuild
conet-242042,7,Causes,C,cause,setting cup on table,table to support cup
conet-16820331,8,HasPrerequisite,HPre,precede,have good health,work
conet-230676,9,Causes,C,cause,cleaning clothing,social acceptance
conet-16806972,0,HasPrerequisite,HPre,precede,taking risk,going on strike
conet-229815,1,Causes,C,cause,bringing in verdict,one being cleared of crime
conet-16807804,2,HasPrerequisite,HPre,precede,remove glasses,have haircut
conet-16817579,3,HasPrerequisite,HPre,precede,fill tub with water,take bath
conet-16799728,4,HasPrerequisite,HPre,precede,go to bank,cash in
conet-235791,5,Causes,C,cause,going to zoo,seeing animals in cages
conet-16812106,6,HasPrerequisite,HPre,precede,use currency,pay cash
conet-232091,7,Causes,C,cause,doing housework,tiredness
conet-16798110,8,HasPrerequisite,HPre,precede,turn on calculator,add up column of numbers
conet-16819240,9,HasPrerequisite,HPre,precede,sight,visiting art gallery
conet-232007,0,Causes,C,cause,doing exercises,breathing hard
conet-236823,1,Causes,C,cause,ignorance,hostility
conet-16811772,2,HasPrerequisite,HPre,precede,stay in lines,paint picture
conet-236429,3,Causes,C,cause,having sex,pregnancy wanted
conet-16807795,4,HasPrerequisite,HPre,precede,go to hairdressers,have haircut
conet-239631,5,Causes,C,cause,playing game of chess,get better at playing chess
conet-16801818,6,HasPrerequisite,HPre,precede,eat and eat and eat,diminish own hunger
conet-16800003,7,HasPrerequisite,HPre,precede,place in mouth,chew food
conet-16809005,8,HasPrerequisite,HPre,precede,join emergency services,involved in accident
conet-16820219,9,HasPrerequisite,HPre,precede,use water can,water plant
conet-16814169,0,HasPrerequisite,HPre,precede,words,reading letter
conet-16817241,1,HasPrerequisite,HPre,precede,open matchbox,strike match
conet-242586,2,Causes,C,cause,sound,sound
conet-16779709,3,HasFirstSubevent,HFS,precede,understand implications,find truth
conet-238104,4,Causes,C,cause,losing weight,clothing fitting better
conet-16817582,5,HasPrerequisite,HPre,precede,get large ammount of water,take bath
conet-16809651,6,HasPrerequisite,HPre,precede,consult with physician,know if you're healthy
conet-16816144,7,HasPrerequisite,HPre,precede,bend over,sit on chair
conet-241974,8,Causes,C,cause,serving customers,wait tables
conet-229766,9,Causes,C,cause,breathing fresh air,silence
conet-243855,0,Causes,C,cause,taking walk,wear out shoes
conet-235584,1,Causes,C,cause,going to restaurant,could get food poisoning
conet-16814626,2,HasPrerequisite,HPre,precede,el,return to work
conet-16807373,3,HasPrerequisite,HPre,precede,obtain seeds,grow vegetables
conet-16804116,4,HasPrerequisite,HPre,precede,courage,finding truth
conet-231552,5,Causes,C,cause,creating to help other people,international recognition
conet-16812531,6,HasPrerequisite,HPre,precede,recruit players,play game
conet-245037,7,Causes,C,cause,washing car,clean
conet-239001,8,Causes,C,cause,painting,stains on floor
conet-242501,9,Causes,C,cause,snoring,people hating
conet-16810565,0,HasPrerequisite,HPre,precede,get divorce,love else
conet-229848,1,Causes,C,cause,bringing suit,verdict
conet-232548,2,Causes,C,cause,eating breakfast,energy to leave house
conet-237522,3,Causes,C,cause,learning,dysfunction
conet-16819440,4,HasPrerequisite,HPre,precede,polite,wait tables
conet-16819431,5,HasPrerequisite,HPre,precede,get job at resteraunt,wait tables
conet-16795532,6,HasLastSubevent,HLS,precede,flirt,smile
conet-242238,7,Causes,C,cause,sitting on chair,no longer standing
conet-16779706,8,HasFirstSubevent,HFS,precede,become enlightened,find truth
conet-16799684,9,HasPrerequisite,HPre,precede,learn math,calculate things quickly
conet-238351,0,Causes,C,cause,making better world,side effects
conet-244570,1,Causes,C,cause,viewing film at home,masturbate
conet-16798240,2,HasPrerequisite,HPre,precede,say ok right,agree with
conet-16797344,3,HasLastSubevent,HLS,precede,view video,rewind ready for next time
conet-244760,4,Causes,C,cause,waiting in line,get impatient
conet-232025,5,Causes,C,cause,doing exercises,muscle growth
conet-232871,6,Causes,C,cause,eating quickly,illness
conet-16797117,7,HasLastSubevent,HLS,precede,surf,leave beach
conet-16805911,8,HasPrerequisite,HPre,precede,prepare,go on strike
conet-243286,9,Causes,C,cause,surprising,annoyance
conet-16803238,0,HasPrerequisite,HPre,precede,know where film playing,enjoy film
conet-16817065,1,HasPrerequisite,HPre,precede,bed,staying in bed
conet-245167,2,Causes,C,cause,watching evening news,depression
conet-320549,3,CausesDesire,CD,cause,enjoyable job,drive to work
conet-16780037,4,HasFirstSubevent,HFS,precede,scream,go to concert
conet-16802787,5,HasPrerequisite,HPre,precede,enjoy,eat ice cream
conet-16817315,6,HasPrerequisite,HPre,precede,go to school,study for subject
conet-238652,7,Causes,C,cause,meeting friend,talk
conet-321044,8,CausesDesire,CD,cause,going to beach,surf
conet-16818920,9,HasPrerequisite,HPre,precede,having urethra,urinating
conet-16820725,0,HasPrerequisite,HPre,precede,doing research,writing term paper
conet-16804500,1,HasPrerequisite,HPre,precede,rest today,gather energy for tomorrow
conet-229047,2,Causes,C,cause,adding up column of numbers,total of accumalated numbers
conet-240026,3,Causes,C,cause,playing violin,people to enjoy music
conet-236600,4,Causes,C,cause,heart attack,dying
conet-16803332,5,HasPrerequisite,HPre,precede,charming,entertain people
conet-245265,6,Causes,C,cause,watching pornography,sexual arousal
conet-240230,7,Causes,C,cause,procreating,large family
conet-16819314,8,HasPrerequisite,HPre,precede,bring book to read,wait for
conet-16799612,9,HasPrerequisite,HPre,precede,good produce market,buying fresh fruits and vegetables
conet-245411,0,Causes,C,cause,watering plant,make plant grow
conet-16799761,1,HasPrerequisite,HPre,precede,get exposed to mumps,catch mumps
conet-16820191,2,HasPrerequisite,HPre,precede,get hose,water plant
conet-243874,3,Causes,C,cause,talking,hurt feelings
conet-245405,4,Causes,C,cause,watering plant,grows
conet-236301,5,Causes,C,cause,having nervous breakdown,go into rehab
conet-16803675,6,HasPrerequisite,HPre,precede,get job and buy food,feed family
conet-237301,7,Causes,C,cause,killing people,get arrested
conet-16805015,8,HasPrerequisite,HPre,precede,go outside and take walk,get physical activity
conet-16806028,9,HasPrerequisite,HPre,precede,tell family first,go public
conet-16802728,0,HasPrerequisite,HPre,precede,go to burger king,eat hamburger
conet-16816114,1,HasPrerequisite,HPre,precede,know melody and lyrics,singing song
conet-230082,2,Causes,C,cause,buying hamburger,dinner
conet-240159,3,Causes,C,cause,preparing for vote,winning
conet-16819364,4,HasPrerequisite,HPre,precede,thinking,wait in line
conet-241507,5,Causes,C,cause,seeing artifacts,connection to past
conet-16804521,6,HasPrerequisite,HPre,precede,turning down invitation,gathering energy for tomorrow
conet-16801886,7,HasPrerequisite,HPre,precede,find deep water,dive
conet-239360,8,Causes,C,cause,playing,getting tired
conet-16814891,9,HasPrerequisite,HPre,precede,take wallet with,run errands
conet-16817249,0,HasPrerequisite,HPre,precede,use surface,strike match
conet-228995,1,Causes,C,cause,acting in play,big ego
conet-16802865,2,HasPrerequisite,HPre,precede,park car,eat in restaurant
conet-16800400,3,HasPrerequisite,HPre,precede,go someplace quiet,cogitate
conet-16806515,4,HasPrerequisite,HPre,precede,take interest in drama,go to play
conet-232255,5,Causes,C,cause,driving,car sickness
conet-16808732,6,HasPrerequisite,HPre,precede,gesture with hands,illustrate point
conet-244274,7,Causes,C,cause,tying shoelace,arthritis pain
conet-16814595,8,HasPrerequisite,HPre,precede,not hurry,rest
conet-233801,9,Causes,C,cause,gaining more land,make one wealthier
conet-236928,0,Causes,C,cause,instituting civil action,going to court
conet-319136,1,CausesDesire,CD,cause,appreciation for opera,go to opera
conet-16812561,2,HasPrerequisite,HPre,precede,set up chessboard,play game of chess
conet-230919,3,Causes,C,cause,committing perjury,go to prison
conet-239226,4,Causes,C,cause,paying by check,get to keep purchase
conet-16779873,5,HasFirstSubevent,HFS,precede,warm up,get physical activity
conet-16806831,6,HasPrerequisite,HPre,precede,good pair of running shoes,going for jog
conet-16818048,7,HasPrerequisite,HPre,precede,take break from,taking break
conet-229824,8,Causes,C,cause,bringing suit,court date
conet-16778940,9,HasFirstSubevent,HFS,precede,buy proper equipment,become scuba diver
conet-16782009,0,HasFirstSubevent,HFS,precede,fasten leash,walk dog
conet-229628,1,Causes,C,cause,being alone,serenity
conet-16794740,2,HasLastSubevent,HLS,precede,bathe,pull plug
conet-244820,3,Causes,C,cause,waiting on tables,varicose veins
conet-241068,4,Causes,C,cause,riding bicycle,transportation
conet-235685,5,Causes,C,cause,going to sporting event,clap when team wins
conet-244468,6,Causes,C,cause,using computer,headache
conet-16806198,7,HasPrerequisite,HPre,precede,brush teeth,go to dentist
conet-238307,8,Causes,C,cause,maintaining muscle strength,live longer
