id,fname,fold,connective,label,text1,text2
pdtb-wsj_2201-31-r,wsj_2201,0,ultimately,else,getting its timing down fast enough to tape a commercial after the market closed and rush it on the air that night,"In the aftermath of the 1987 debacle, the brokerage firm began taping commercials in-house"
pdtb-wsj_0966-54-r,wsj_0966,1,before,else,the police could arrive,be cleaned
pdtb-wsj_2025-14-r,wsj_2025,2,at the same time,sync,there appears to be a market for news-oriented programming,"There has been a surge in syndicated children's shows to independent stations, as well as competition from videocassettes for kids and from cable outlets such as Nickelodeon and the Disney Channel"
pdtb-wsj_2061-69-r,wsj_2061,3,after,else,reacting to the news about improved recovery in flight schedules,the company filed for bankruptcy protection
pdtb-wsj_1782-11-r,wsj_1782,4,since,else,mortgage rates have hit a plateau,they began edging down after a peak in March
pdtb-wsj_1815-29-r,wsj_1815,5,after,else,"earnings of year-round, full-time male workers fell 1.3% in 1988 the first such drop since 1982",adjusting for higher prices
pdtb-wsj_0689-46-r,wsj_0689,6,until,else,money is withdrawn,Investment gains are compounded without tax consequences
pdtb-wsj_1054-3-r,wsj_1054,7,as,sync,he departed,"he noticed a sign saying, ""Have You Left Anything"
pdtb-wsj_0231-1-r,wsj_0231,8,while,sync,"trading in Frankfurt, West Germany, ended higher",London shares also rose
pdtb-wsj_1250-30-r,wsj_1250,9,before,else,the two parties resumed talks last week,De Beers offered 17% and the union wanted 37.6%
pdtb-wsj_1543-3-r,wsj_1543,0,while,sync,chemical margins continued to worsen this quarter,costs will be lower
pdtb-wsj_2169-0-r,wsj_2169,1,as,sync,the Dow Jones Industrial Average rebounded from Friday's plunge,The market for $200 billion of high-yield junk bonds regained some of its footing
pdtb-wsj_1423-16-r,wsj_1423,2,before,else,the Supreme Court's Webster ruling,"In another case, a protester, Ann O'Brien, was convicted of trespass"
pdtb-wsj_1110-11-r,wsj_1110,3,before,else,the new fiscal year begins Oct. 1,spend its money
pdtb-wsj_1829-39-r,wsj_1829,4,meanwhile,sync,"they, too, fared as well as could be expected","a spot check of computer makers turned up little, if any, potentially lingering damage to facilities or fabrication equipment"
pdtb-wsj_2112-121-r,wsj_2112,5,then,else,the whole thing will start to collapse and the ghosts and banshees will be howling through the place,they can hold off the ghosts only a little while longer
pdtb-wsj_0996-38-r,wsj_0996,6,when,else,Congress caved,it threatened to use this provision as the test for a line-item veto
pdtb-wsj_1146-108-r,wsj_1146,7,as,sync,"his wife, Wieslawa, sets some chairs out in the sun","I've heard from friends that state farms are subsidized,"" Mr. Pyszkiewicz says"
pdtb-wsj_1201-18-r,wsj_1201,8,ultimately,else,that led to Leaseway's being sold,"In 1986, Baker, Nye waged a proxy fight for control of Leaseway Transportation Inc"
pdtb-wsj_0671-65-r,wsj_0671,9,after,else,RJR Holdings Capital Corp. 's 14.7% convertible pay-in-kind securities maturing in 2009 closed 1/2 higher at 86 1/2,trading as low as 85 1/4
pdtb-wsj_1630-8-r,wsj_1630,0,after,else,the bank decided to exercise its option,bids fell short of expectations
pdtb-wsj_0765-105-r,wsj_0765,1,later,else,he sided with striking hospital workers,Mr. Dinkins suggested weakening the law forbidding public employees to go on strike
pdtb-wsj_0640-14-r,wsj_0640,2,later on,else,they could see some benefits,retailers probably won't ever recover sales lost because of the California quake and Hurricane Hugo
