id,fold,label,target,text
mmitchell-2277-0,0,neu,Discovery News,Artificial Tree s: Capturing Energy from Sun and Wind : Discovery News
mmitchell-193-0,1,neu,Andriod,gpradeesh thirumarant Rajarath RajanLeaks any recommendation for Andriod application ? suggestion for tamil twitter software .
mmitchell-2304-0,2,neu,Robert Tressell,The Ragged Trousered Philanthropists by Robert Tressell
mmitchell-785-0,3,pos,shavo adadjian,dascensionband shavo adadjian of SOAD band is my favorite bass player .. sorry for the late response i don't twit allot :p
mmitchell-2307-0,4,pos,USAMA-NETWORK,Just Follow USAMA-NETWORK Send to 9900 & usama_tweet send to 40404
mmitchell-621-6,5,neu,ASGFM,"Year 2020 . Will we see countries name like ( Apple , Samsung , Google , Facebook , Microsoft , T ) . From PIIGS to ( ASGFM ) . then no more Euro Crisis"
mmitchell-2219-0,6,neu,Subway,Subway Franchise for Sale : How Much Does a Subway Franchise Cost ?
mmitchell-2298-0,7,pos,LenaMaher,LenaMaher yes It is a good day for me .. I feel better :)
mmitchell-984-0,8,neu,shoiab,shoiab returns with yet another controversy .
mmitchell-765-1,9,neu,Press Heral d:,People & Entertainment Prince Harry takes in a show â in Vegas - Press Heral d: Press HeraldPeople & Entertainmen ...
mmitchell-1475-0,0,neu,Jiji,"I've always wanted 2 be somebody , but I should have been more specific ... Jiji"
mmitchell-868-0,1,neu,"""Bender""","I just unlocked the ""Bender"" badge on foursquare !"
mmitchell-1065-0,2,pos,Cynthia,chutche6 Thanks Cynthia . We're glad you enjoyed our book .
mmitchell-1291-2,3,neu,Apple,"Apple and Nokia patent dispute ends with license agreement , Apple payments http://t.co/o3R9PWY vÃÂ­a engadget"
mmitchell-1704-1,4,neg,shaun,NinjaaMonkey her name is holliday slater and she's horrible and she hates me cos I'm GAY and she loves shaun the sheeps retarded sister
mmitchell-416-0,5,neg,Forex,The 2nd Reason Why Forex Traders Fail !! ...
mmitchell-22-0,6,neu,Manic Street Preachers,Manic Street Preachers â This Is Yesterday : http://www.last.fm/music/Manic+Street+Preachers
mmitchell-673-0,7,pos,Ravens,TommyDeeTKB memories son ! Let's go Ravens
mmitchell-510-0,8,pos,Jagjit Singh,Ghazals by Jagjit Singh will be as fresh as ever . Listen to The Ghazhal Maestro ...
mmitchell-2148-0,9,pos,Sergio Aguero,Sergio Aguero greets Man City fans at the Etihad Stadium
mmitchell-334-0,0,neu,Duracell,$ 19.99 for $ 59.88 Value â 48-Pack Duracell Copper Top AA Alkaline Batteries Plus Free Shipping http://t.co/CXcngouc coupons
mmitchell-769-0,1,pos,Nigella,"Cooking Hands on flavours of China : Australia's favourite food blogger , Not Quite Nigella , takes a class in Can ..."
mmitchell-980-0,2,neu,Tuareg Rockers,Africa Tuareg Rockers Tinariwen Set for 2010 U.S . Summer Tour ...
mmitchell-220-1,3,neu,Rajasthan,"Ranji Trophy Semifinal 2 , Day 2 - Haryana 15/2 & 97 vs . Rajasthan 192 & 89 . Haryana need 170 runs to win"
mmitchell-1131-0,4,pos,Sun Myung Moon,Curious fact s: What awards Sun Myung Moon have received ? Scholarly institutions presented him with honorary doctorate s:
