id,fold,label,target,text
senti-norm-10154#1,0,pos,Student loan debt in the US be forgiven for all,Student loan debt in the US should be forgiven for all.
senti-norm-5904#1,1,pos,Governments make an effort to reduce the gender pay gap,Governments should make an effort to reduce the gender pay gap.
senti-norm-1470#7,2,neg,A felon be part of the processes through which this society governs itself,A felon has violated the rules and laws of the American society and caused harm to its community; he/she should therefore not be part of the processes through which this society governs itself.
senti-norm-23139#115,3,pos,"Parents decide on their children's diet whether they are vegetarian or not, at least until the children become mature enough to make their own choices","Parents have to decide on their children's diet whether they are vegetarian or not, at least until the children become mature enough to make their own choices."
senti-norm-23796#1,5,neg,be mandatory for cyclists to wear helmets,It should not be mandatory for cyclists to wear helmets
senti-norm-15695#1,6,pos,HPV vaccine be made accessible to everyone for free,HPV vaccine should be made accessible to everyone for free.
senti-norm-16680#1,7,pos,Creators cater to their fans,Creators should cater to their fans.
senti-norm-1323#1,8,neg,Traditional bullfighting - the practice of fighting with bulls that includes physically injuring them,Traditional bullfighting - the practice of fighting with bulls that includes physically injuring them - should be banned.
senti-norm-5548#1,0,pos,In case aliens exist say hello,"In case aliens exist, we should say hello."
senti-norm-9360#1,1,neg,Jury trials,Jury trials should be abolished.
senti-norm-9269#1,2,pos,Parents Who Don't Vaccinate Their Children Be Fined If The Child Gets A Vaccine-Preventable Illness,Parents Who Don't Vaccinate Their Children Should Be Fined If The Child Gets A Vaccine-Preventable Illness.
senti-norm-19191#26,3,pos,Justice be doled out by government,"Justice should be doled out by government, not by private citizens. Privatization removes an aspect of government authority from the justice process."
senti-norm-13673#1,4,neg,Infant circumcision,Infant circumcision should be banned.
senti-norm-27820#103,5,pos,refugees do not choose to leave their country out of their own free choice be kept in mind when considering the treatment they deserve,"In the vast majority of cases, refugees do not choose to leave their country out of their own free choice, and instead flee for fear of their lives; this must be kept in mind when considering the treatment they deserve. (p.1)"
senti-norm-4458#73,7,neg,Trump's presidency standard principles and norms of democracy apply,Trump's presidency is so unusual and anomalous that standard principles and norms of democracy should not apply.
senti-norm-13623#54,8,pos,government be cutting other expenses to make room for Internet access,If a government cannot provide internet access in some form to its citizens it should be cutting other expenses to make room for it. Internet access most importantly provides knowledge to its users.
senti-norm-5746#1,9,pos,Routine childhood vaccination against preventable diseases be mandatory worldwide,Routine childhood vaccination against preventable diseases should be mandatory worldwide.
senti-norm-2495#1,0,pos,Humanity colonize Mars,Humanity should colonize Mars.
senti-norm-2995#3,1,pos,Avoid Entirely,Avoid Entirely
senti-norm-19174#1,2,neg,apps preventing traffic jams by diverting traffic into small side streets,We should ban apps from preventing traffic jams by diverting traffic into small side streets.
senti-norm-4650#3,3,neg,The US change its voting system,...It should not change its system. The US should continue using the First-Past-The-Post voting system. Described here: en.wikipedia.org
senti-norm-18593#308,6,neg,Religious exemption laws,Religious exemption laws should be repealed in order to prevent children suffering from illnesses that could have been prevented.
senti-norm-1926#6,7,neg,Huckleberry Finn language be modified,"It is important to preserve the artistic integrity of great works of art like Huckleberry Finn. As such, none of its language should be modified."
senti-norm-2027#840,8,neg,The government be bothered with what people consume in private,"The government should not be bothered with what people consume in private, as they are not affecting other people publicly."
senti-norm-3654#19,0,pos,All childcare be subject to rigorous checks and controls to ensure the safety of the children,All childcare should be subject to rigorous checks and controls to ensure the safety of the children. With these in place gender is no longer an issue.
senti-norm-1634#1,1,pos,Wealthy countries provide citizens with a universal basic income (UBI),Wealthy countries should provide citizens with a universal basic income (UBI).
senti-norm-27820#45,2,pos,allow asylum seekers in need to live in safety in the EU,There is a moral duty to allow asylum seekers in need to live in safety in the EU.
senti-norm-2439#1,3,pos,Military conscription apply to men and women equally,Military conscription should apply to men and women equally.
senti-norm-5637#1161,4,pos,"a woman have reproductive control, which includes abortion","Men and women are not different in any way that has any bearing on the argument of equality/equal rights. Equality, in this respect, allows a woman to pursue her aspirations in an equivalent manner to which a man is able to pursue his - and in order to achieve that a woman must have reproductive control, which includes abortion."
senti-norm-24937#1,5,pos,"choose almond milk over cow's milk, when it is available","Everyone should choose almond milk over cow's milk, when it is available."
senti-norm-9196#1,6,pos,Mobile phones be used in the classroom,Mobile phones should be used in the classroom.
