id,reversed,fold,pos,split,label,text1,text2
antsyn-noun-train-1951-O,0,0,noun,train,ent,stockholder,shareholder
antsyn-adj-train-734-O,0,1,adj,train,ent,late,slow
antsyn-adj-val-104-O,0,2,adj,val,ent,square,solid
antsyn-verb-train-923-O,0,3,verb,train,con,ship,disembark
antsyn-noun-val-92-O,0,4,noun,val,con,motion,rest
antsyn-verb-train-727-O,0,5,verb,train,ent,better,surpass
antsyn-verb-train-1081-O,0,6,verb,train,ent,enter,insert
antsyn-noun-train-1730-O,0,7,noun,train,ent,outrage,insult
antsyn-noun-train-1746-O,0,8,noun,train,ent,disruption,interruption
antsyn-adj-test-84-O,0,9,adj,test,con,ample,small
antsyn-adj-train-434-O,0,0,adj,train,con,famous,unknown
antsyn-adj-train-3729-O,0,1,adj,train,ent,watery,liquid
antsyn-adj-test-1467-O,0,2,adj,test,con,monoclinic,triclinic
antsyn-adj-train-3164-O,0,3,adj,train,ent,habitual,usual
antsyn-adj-train-2745-O,0,4,adj,train,con,soft,stony
antsyn-adj-train-4484-O,0,5,adj,train,con,heretical,orthodox
antsyn-noun-train-706-O,0,6,noun,train,con,antioxidant,oxidant
antsyn-noun-train-1639-O,0,7,noun,train,con,touchback,safety
antsyn-adj-train-978-O,0,8,adj,train,ent,pleasing,pleasant
antsyn-noun-train-1885-O,0,9,noun,train,ent,addict,drug
antsyn-adj-test-771-O,0,0,adj,test,ent,nacreous,iridescent
antsyn-verb-train-509-O,0,1,verb,train,ent,rescind,revoke
antsyn-adj-train-1443-O,0,2,adj,train,ent,gray,old
antsyn-noun-test-297-O,0,3,noun,test,ent,look,tone
antsyn-noun-train-1459-O,0,4,noun,train,ent,operation,procedure
antsyn-adj-train-3543-O,0,5,adj,train,ent,abnormal,extraordinary
antsyn-verb-train-785-O,0,6,verb,train,con,couple,decouple
antsyn-noun-test-915-O,0,7,noun,test,con,stranger,acquaintance
antsyn-adj-train-4049-O,0,8,adj,train,ent,susceptible,sensitive
antsyn-verb-test-171-O,0,9,verb,test,con,fire,employ
antsyn-verb-train-752-O,0,0,verb,train,ent,propagate,multiply
antsyn-verb-train-1332-O,0,1,verb,train,ent,lay,rest
antsyn-adj-train-1673-O,0,2,adj,train,con,common,individual
antsyn-verb-train-713-O,0,3,verb,train,ent,weigh,matter
antsyn-noun-train-1182-O,0,4,noun,train,ent,money,sterling
antsyn-adj-train-4150-O,0,5,adj,train,con,soft,bright
antsyn-noun-train-455-O,0,6,noun,train,ent,abrasion,attrition
antsyn-verb-train-310-O,0,7,verb,train,ent,name,make
antsyn-verb-train-1281-O,0,8,verb,train,ent,disperse,distribute
antsyn-verb-train-1461-O,0,9,verb,train,con,keep,allow
antsyn-noun-test-372-O,0,0,noun,test,ent,distribution,classification
antsyn-verb-train-1680-O,0,1,verb,train,ent,evidence,show
antsyn-noun-train-1635-O,0,2,noun,train,con,base,noble
antsyn-verb-test-396-O,0,3,verb,test,ent,rap,tap
antsyn-verb-train-1790-O,0,4,verb,train,ent,deposit,fix
antsyn-adj-train-2576-O,0,5,adj,train,con,mild,severe
antsyn-verb-train-2120-O,0,6,verb,train,ent,hug,caress
antsyn-adj-train-1866-O,0,7,adj,train,con,colossal,small
antsyn-adj-test-149-O,0,8,adj,test,con,wrong,accurate
antsyn-adj-train-1014-O,0,9,adj,train,con,bicameral,unicameral
antsyn-adj-train-3689-O,0,0,adj,train,con,sorry,good
antsyn-adj-train-2688-O,0,1,adj,train,ent,detestable,abominable
antsyn-verb-train-2311-O,0,2,verb,train,con,forget,reminisce
antsyn-adj-train-2495-O,0,3,adj,train,con,extraordinary,everyday
antsyn-verb-test-591-O,0,4,verb,test,con,straighten,bend
antsyn-noun-test-448-O,0,5,noun,test,ent,transposition,permutation
antsyn-verb-train-2349-O,0,6,verb,train,con,maximise,minimize
antsyn-adj-train-4930-O,0,7,adj,train,con,interesting,uninteresting
antsyn-adj-train-3663-O,0,8,adj,train,ent,poignant,moving
antsyn-adj-train-3521-O,0,9,adj,train,con,subdued,bright
antsyn-verb-train-862-O,0,0,verb,train,con,malfunction,run
antsyn-adj-test-1764-O,0,1,adj,test,ent,steady,constant
antsyn-adj-train-4670-O,0,2,adj,train,con,exothermic,endothermic
antsyn-verb-train-349-O,0,3,verb,train,con,admit,exclude
antsyn-verb-train-1381-O,0,4,verb,train,ent,border,surround
antsyn-adj-train-2143-O,0,5,adj,train,con,conscious,unaware
antsyn-noun-train-1355-O,0,6,noun,train,con,development,devolution
antsyn-adj-train-983-O,0,7,adj,train,con,conspicuous,obscure
antsyn-adj-train-5367-O,0,8,adj,train,con,perpetual,temporary
antsyn-adj-test-199-O,0,9,adj,test,ent,relative,referential
antsyn-noun-val-116-O,0,0,noun,val,ent,micron,micrometre
antsyn-adj-train-846-O,0,1,adj,train,ent,gross,big
antsyn-noun-train-1998-O,0,2,noun,train,ent,debris,junk
antsyn-verb-val-76-O,0,3,verb,val,con,allow,forbid
antsyn-adj-train-3627-O,0,4,adj,train,con,false,honest
antsyn-adj-train-2917-O,0,5,adj,train,con,refreshing,old
antsyn-adj-test-1308-O,0,6,adj,test,con,bluish,neutral
antsyn-verb-train-2463-O,0,7,verb,train,con,coagulate,dissolve
antsyn-noun-val-24-O,0,8,noun,val,ent,row,sequence
antsyn-adj-test-962-O,0,9,adj,test,ent,extra,redundant
antsyn-adj-test-1542-O,0,0,adj,test,ent,open,split
antsyn-noun-train-680-O,0,1,noun,train,con,catabolism,anabolism
antsyn-noun-train-2041-O,0,2,noun,train,ent,trace,hint
antsyn-adj-test-1602-O,0,3,adj,test,ent,rigorous,severe
antsyn-noun-train-2374-O,0,4,noun,train,ent,term,terminus
antsyn-verb-train-1480-O,0,5,verb,train,ent,suit,answer
antsyn-adj-val-52-O,0,6,adj,val,con,aged,fresh
antsyn-noun-train-1584-O,0,7,noun,train,con,light,heavy
antsyn-verb-test-543-O,0,8,verb,test,ent,relate,describe
antsyn-verb-test-542-O,0,9,verb,test,ent,estimate,appraise
antsyn-verb-train-1305-O,0,0,verb,train,con,disqualify,qualify
antsyn-adj-train-643-O,0,1,adj,train,con,active,uninvolved
antsyn-adj-train-1635-O,0,2,adj,train,ent,conspicuous,notable
antsyn-noun-test-431-O,0,3,noun,test,con,ally,enemy
antsyn-adj-train-2537-O,0,4,adj,train,con,audible,inaudible
antsyn-adj-train-4997-O,0,5,adj,train,con,copernican,geocentric
antsyn-noun-train-1014-O,0,6,noun,train,ent,senate,legislature
antsyn-noun-test-555-O,0,7,noun,test,ent,apology,justification
antsyn-adj-train-1872-O,0,8,adj,train,ent,famous,excellent
antsyn-noun-test-599-O,0,9,noun,test,ent,waterfall,cascade
antsyn-noun-train-374-O,0,0,noun,train,con,vegetation,fauna
antsyn-verb-train-131-O,0,1,verb,train,ent,flourish,develop
