id,fold,label,text1,text2
neu_wpair-50000-0,0,neu,jeffrey,piercing
neu_wpair-50000-1,1,neu,route,exam
neu_wpair-50000-2,2,neu,shanty,biographies
neu_wpair-50000-3,3,neu,whitney,vaguely
neu_wpair-50000-4,4,neu,stabilize,justification
neu_wpair-50000-5,5,neu,spasm,exercising
neu_wpair-50000-6,6,neu,hilliker,pillars
neu_wpair-50000-7,7,neu,surgeon,paradise
neu_wpair-50000-8,8,neu,noise,phrases
neu_wpair-50000-9,9,neu,purists,rags
neu_wpair-50000-10,0,neu,emerging,scheck
neu_wpair-50000-11,1,neu,egg,losing
neu_wpair-50000-12,2,neu,a504,tad
neu_wpair-50000-13,3,neu,fleming,inventory
neu_wpair-50000-14,4,neu,algeria,abiding
neu_wpair-50000-15,5,neu,notification,kingston
neu_wpair-50000-16,6,neu,mused,cursed
neu_wpair-50000-17,7,neu,notch,confinement
neu_wpair-50000-18,8,neu,mar,scale
neu_wpair-50000-19,9,neu,regiment,rate
neu_wpair-50000-20,0,neu,copies,chennai
neu_wpair-50000-21,1,neu,his,botticelli
neu_wpair-50000-22,2,neu,tutmosis,violate
neu_wpair-50000-23,3,neu,unlv,alive
neu_wpair-50000-24,4,neu,societies,resultsoriented
neu_wpair-50000-25,5,neu,provincial,rebels
neu_wpair-50000-26,6,neu,planets,snowcapped
neu_wpair-50000-27,7,neu,desks,ordinary
neu_wpair-50000-28,8,neu,ocean,sentiment
neu_wpair-50000-29,9,neu,seams,tapping
neu_wpair-50000-30,0,neu,ladin,adolescents
neu_wpair-50000-31,1,neu,omen,connects
neu_wpair-50000-32,2,neu,hawaii,dazed
neu_wpair-50000-33,3,neu,theodore,prepares
neu_wpair-50000-34,4,neu,excavated,proclaim
neu_wpair-50000-35,5,neu,trova,elapsed
neu_wpair-50000-36,6,neu,crow,5th
neu_wpair-50000-37,7,neu,mailers,reale
neu_wpair-50000-38,8,neu,lantau,preserving
neu_wpair-50000-39,9,neu,poo,positioned
neu_wpair-50000-40,0,neu,goldberg,72
neu_wpair-50000-41,1,neu,innovations,hint
neu_wpair-50000-42,2,neu,administration,celebrations
neu_wpair-50000-43,3,neu,casey,collections
neu_wpair-50000-44,4,neu,ideal,childhood
neu_wpair-50000-45,5,neu,cattle,mission
neu_wpair-50000-46,6,neu,vision,fascism
neu_wpair-50000-47,7,neu,stimulate,inventors
neu_wpair-50000-48,8,neu,leaks,croce
neu_wpair-50000-49,9,neu,refusing,phones
neu_wpair-50000-50,0,neu,305,idle
neu_wpair-50000-51,1,neu,benigni,weary
neu_wpair-50000-52,2,neu,outward,teleconferencing
neu_wpair-50000-53,3,neu,balloons,victory
neu_wpair-50000-54,4,neu,instructor,basilica
neu_wpair-50000-55,5,neu,trumped,fiddle
neu_wpair-50000-56,6,neu,browse,absent
neu_wpair-50000-57,7,neu,relieved,music
neu_wpair-50000-58,8,neu,coward,accountable
neu_wpair-50000-59,9,neu,trustees,referenced
neu_wpair-50000-60,0,neu,dawn,71
neu_wpair-50000-61,1,neu,binding,pointed
neu_wpair-50000-62,2,neu,exact,nye
neu_wpair-50000-63,3,neu,dilution,worry
neu_wpair-50000-64,4,neu,lurched,adorable
neu_wpair-50000-65,5,neu,trilogy,delivered
neu_wpair-50000-66,6,neu,beyond,gulf
neu_wpair-50000-67,7,neu,bits,vest
neu_wpair-50000-68,8,neu,manjushri,assistant
neu_wpair-50000-69,9,neu,personalities,transfer
neu_wpair-50000-70,0,neu,chapelle,cultures
neu_wpair-50000-71,1,neu,associated,bishops
neu_wpair-50000-72,2,neu,ancient,mining
neu_wpair-50000-73,3,neu,es,drinks
neu_wpair-50000-74,4,neu,assures,alleys
neu_wpair-50000-75,5,neu,queen,gone
neu_wpair-50000-76,6,neu,elaine,9000
neu_wpair-50000-77,7,neu,curious,inferior
neu_wpair-50000-78,8,neu,comfortable,arabic
neu_wpair-50000-79,9,neu,dogs,avant
neu_wpair-50000-80,0,neu,sorbonne,cyber
neu_wpair-50000-81,1,neu,delayed,madeira
neu_wpair-50000-82,2,neu,lowland,copying
neu_wpair-50000-83,3,neu,assessment,loyola
neu_wpair-50000-84,4,neu,criminals,stimulate
neu_wpair-50000-85,5,neu,perceived,standpoint
neu_wpair-50000-86,6,neu,herring,vygotsky
neu_wpair-50000-87,7,neu,estoril,coins
neu_wpair-50000-88,8,neu,snorkeling,centre
