pairid,split
00015_16#00015_16_1,train
00015_16#00015_16_2,train
00015_16#00015_16_3,train
00015_16#00015_16_4,train
00015_16#00015_16_5,train
00040_1#00040_1_1,train
00040_1#00040_1_10,train
00040_1#00040_1_11,train
00040_1#00040_1_12,train
00040_1#00040_1_13,train
00040_1#00040_1_14,train
00040_1#00040_1_15,train
00040_1#00040_1_16,train
00040_1#00040_1_17,train
00040_1#00040_1_18,train
00040_1#00040_1_2,train
00040_1#00040_1_3,train
00040_1#00040_1_4,train
00040_1#00040_1_5,train
00040_1#00040_1_6,train
00040_1#00040_1_7,train
00040_1#00040_1_8,train
00040_1#00040_1_9,train
00055_13#00055_13_1,train
00055_13#00055_13_2,train
00055_13#00055_13_3,train
00055_13#00055_13_5,train
00055_13#00055_13_6,train
00055_13#00055_13_7,train
00055_13#00055_13_8,train
00055_14#00055_14_1,train
00055_14#00055_14_2,train
00055_14#00055_14_3,train
00081_5#00081_5_1,train
00081_5#00081_5_2,train
00081_5#00081_5_3,train
00171_4#00171_4_1,train
00171_4#00171_4_2,train
00171_4#00171_4_3,train
00171_4#00171_4_4,train
00171_4#00171_4_5,train
00171_4#00171_4_6,train
00171_4#00171_4_7,train
00171_4#00171_4_8,train
00184_3#00184_3_1,train
00184_3#00184_3_10,train
00184_3#00184_3_2,train
00184_3#00184_3_3,train
00184_3#00184_3_4,train
00184_3#00184_3_9,train
00211_8#00211_8_12,train
00211_8#00211_8_14,train
00211_8#00211_8_2,train
00211_8#00211_8_3,train
00211_8#00211_8_4,train
00211_8#00211_8_6,train
00211_8#00211_8_7,train
00233_1#00233_1_2,train
00233_1#00233_1_4,train
00233_1#00233_1_5,train
00233_1#00233_1_6,train
00280_3#00280_3_1,train
00280_3#00280_3_2,train
00280_3#00280_3_3,train
00280_3#00280_3_4,train
00280_3#00280_3_5,train
00280_3#00280_3_6,train
00321_2#00321_2_1,train
00321_2#00321_2_2,train
00321_2#00321_2_3,train
00321_2#00321_2_4,train
00322_13#00322_13_1,train
00322_13#00322_13_2,train
00322_13#00322_13_3,train
00322_13#00322_13_4,train
00322_13#00322_13_5,train
00322_13#00322_13_6,train
00322_13#00322_13_7,train
00387_5#00387_5_1,train
00387_5#00387_5_2,train
00387_5#00387_5_3,train
00387_5#00387_5_4,train
00466_5#00466_5_1,train
00466_5#00466_5_2,train
00466_5#00466_5_3,train
00466_5#00466_5_4,train
00466_5#00466_5_5,train
00549_10#00549_10_1,train
00549_10#00549_10_2,train
00549_10#00549_10_3,train
00549_10#00549_10_4,train
00572_7#00572_7_1,train
00572_7#00572_7_3,train
00572_7#00572_7_4,train
00637_3#00637_3_1,train
00637_3#00637_3_2,train
00637_3#00637_3_3,train
00750_4#00750_4_1,train
00750_4#00750_4_2,train
00750_4#00750_4_3,train
00750_4#00750_4_4,train
00750_4#00750_4_5,train
00750_4#00750_4_6,train
00838_6#00838_6_1,train
00838_6#00838_6_2,train
00838_6#00838_6_3,train
00867_2#00867_2_1,train
00867_2#00867_2_2,train
00867_2#00867_2_3,train
00867_2#00867_2_4,train
00867_2#00867_2_5,train
00867_2#00867_2_6,train
00883_3#00883_3_1,train
00883_3#00883_3_2,train
00883_3#00883_3_3,train
00883_3#00883_3_4,train
00883_3#00883_3_5,train
00883_3#00883_3_6,train
00883_3#00883_3_7,train
00883_5#00883_5_1,train
00883_5#00883_5_2,train
00883_5#00883_5_3,train
00883_5#00883_5_4,train
00889_34#00889_34_1,train
00889_34#00889_34_2,train
00889_34#00889_34_3,train
00889_34#00889_34_4,train
00899_1#00899_1_1,train
00899_1#00899_1_2,train
00899_1#00899_1_3,train
00899_1#00899_1_4,train
00904_6#00904_6_1,train
00904_6#00904_6_2,train
00904_6#00904_6_3,train
00904_6#00904_6_4,train
00904_6#00904_6_5,train
00942_5#00942_5_1,train
00942_5#00942_5_2,train
00942_5#00942_5_3,train
00942_5#00942_5_4,train
00942_5#00942_5_5,train
00942_5#00942_5_6,train
00942_5#00942_5_7,train
00942_5#00942_5_8,train
00971_4#00971_4_4,train
00971_4#00971_4_5,train
00971_4#00971_4_6,train
01015_1#01015_1_1,train
01015_1#01015_1_2,train
01015_1#01015_1_3,train
01015_1#01015_1_4,train
01015_1#01015_1_5,train
01015_1#01015_1_6,train
01021_6#01021_6_1,train
01021_6#01021_6_2,train
01021_6#01021_6_3,train
01046_5#01046_5_1,train
01046_5#01046_5_10,train
01046_5#01046_5_11,train
01046_5#01046_5_2,train
01046_5#01046_5_3,train
01046_5#01046_5_4,train
01046_5#01046_5_5,train
01046_5#01046_5_6,train
01046_5#01046_5_8,train
01046_5#01046_5_9,train
01089_2#01089_2_1,train
01089_2#01089_2_2,train
01089_2#01089_2_3,train
01089_2#01089_2_4,train
01100_5#01100_5_1,train
01100_5#01100_5_2,train
01100_5#01100_5_3,train
01100_5#01100_5_4,train
01100_5#01100_5_5,train
01164_1#01164_1_1,train
01164_1#01164_1_2,train
01164_1#01164_1_3,train
01164_1#01164_1_4,train
01179_22#01179_22_1,train
01179_22#01179_22_2,train
01179_22#01179_22_3,train
01179_23#01179_23_1,train
01179_23#01179_23_10,train
01179_23#01179_23_2,train
01179_23#01179_23_3,train
01179_23#01179_23_4,train
01179_23#01179_23_5,train
01179_23#01179_23_6,train
01179_23#01179_23_7,train
01179_23#01179_23_8,train
01179_23#01179_23_9,train
01196_3#01196_3_1,train
01196_3#01196_3_2,train
01196_3#01196_3_4,train
01196_3#01196_3_5,train
01196_3#01196_3_6,train
01196_3#01196_3_7,train
01196_7#01196_7_1,train
01196_7#01196_7_2,train
01196_7#01196_7_3,train
01218_4#01218_4_1,train
01218_4#01218_4_2,train
