id,fold,topic,label,text1,text2
wiqa-1958-4-p,0,fires affecting animals,else,trees and plants burn more often,a GREATER amount of oxygen being delivered to the blood stream
wiqa-473-9-p,1,human,else,more babies born,MORE waste being removed from the body
wiqa-1320-6-p,2,cavern,else,there is less limestone,less particles hit rocks
wiqa-1036-6-p,3,global warming,else,more fossil fuels burn,LESS waste being removed from the body
wiqa-995-10-p,4,kidney,else,the body is unable to filter urine,no insects or birds land on the plant
wiqa-787-4-p,5,fossilization,else,fewer animals die,more gases build up under the earth
wiqa-1008-4-p,6,pollination,else,there are more bees,more juvenile fish
wiqa-1397-12-p,7,plant,else,the seeds will not grow,LESS use of water by the plant
wiqa-584-3-p,8,greenhouse,else,more protected greenhouse,MORE regulation of blood sugar level being needed
wiqa-470-11-p,9,bird,else,less eggs to hatch,rocks press harder against each other
wiqa-1850-6-p,0,recycling,else,more cans are taken to a recycling center,a SMALLER greenhouse effect
wiqa-155-1-p,1,squirrel,else,a lot of plants are in the area,LESS plants
wiqa-1025-6-p,2,hurricane,else,If the pressure in the center of a hurricane increases,More seeds are dropped off or deposited
wiqa-570-5-p,3,tree,else,The tree does not become a sapling,the earth doesn't have tectonic movement
wiqa-947-3-p,4,human,else,more sperm reaches the egg,MORE butterflies
wiqa-1083-1-p,5,seed dispersal,else,seedlings are blown off by the wind,HURTING the water purifier to work better
wiqa-146-6-p,6,nuclear power plant,else,more steam is powering turbines,MORE waste being removed from the body
wiqa-830-2-p,7,weathering,else,there is more water from rain,a dam is not built
wiqa-1260-1-p,8,ice cubes,else,being in winter time,LESS erosion by the ocean
wiqa-1145-6-p,9,cloud,else,there is less water vapour,MORE salt being removed from the water
wiqa-1932-3-p,0,insulin,else,a person is insulin resistant,a female fish lays more eggs
wiqa-839-6-p,1,auditory,else,bones in the ear vibrate more,less oxygen is inhaled
wiqa-1024-4-p,2,hurricane,else,if the wind increases its speed,MORE waste being removed from the body
wiqa-850-14-p,3,kidney,else,more urine is passed to the bladder,more cold air rises
wiqa-1800-7-p,4,bird,else,the baby bird died,less urea
