id,fold,label,target,text
semeval17-train-1292,0,neu,brock lesnar,MsRebeccaBlack Do you think Brock Lesnar will beat Undertaker at Summer Slam on Sunday
semeval17-train-12502,1,neg,muslims,What is chilling? I get more stick from Muslims than I ever do from non-Muslims - am sorry it is the truth world - as much as it may pain
semeval17-train-9692,2,neg,kane,Same old same old good till the last 3rd no support for Kane no width fuck knows what Poch is doing ain't got a fucking clue
semeval17-train-1278,3,neu,brock lesnar,"NXTTakeOver hes 50 but so isn't the undertaker whom is facing Brock Lesnar tomorrow night , not Tyler the baby face Breeze"
semeval17-train-10780,4,neg,kim kardashian,Sandwich_Fire I pray that one day you die in hell. Along side capitalist pigs like Kim Kardashian  &  Justin Bieber. May Stalin smite you.
semeval17-train-18652,5,neg,tom brady,Not about Brady. 2nd time cheating w/no punishment! Tom Brady: 'I Am Sorry Our League Had to Endure' 'Deflategate'
semeval17-train-4785,6,pos,ed sheeran,can we talk about the fact that I have an Ed Sheeran concert next Saturday and me  &  my sister sit in seat 9  &  10 in the 8th row of section 1
semeval17-train-17507,7,neu,sharknado,Mega Shark vs Kolossus in preparation for the release of Sharknado 3 tomorrow!  birthdaymonth  syfy
semeval17-train-11009,8,pos,kpop,[FACT]  Philippine ranked 1st place in the Top 5 countries with loudest scream of KPOP fan.
semeval17-train-4107,9,neu,dunkin,Stopped at Dunkin and got a spot on the 3rd floor?  itsgonnabeagoodday
semeval17-train-1577,0,neg,caitlyn jenner,"Regardless of how ""courageous"" Caitlyn Jenner may be he still makes an ugly ass women lol"
semeval17-train-14762,1,pos,paul mccartney,"I'm seeing Paul McCartney tomorrow, one the men most responsible for good music, at all."
semeval17-train-6368,2,neu,george harrison,kerry_mclean what about Here Comes the Sun by George Harrison or Laughter in the Rain by Neil Sedaka?
semeval17-train-11386,3,neg,milan,Doctors on strike all day in Italy. Public transport on strike in Milan from 8:45am to 12:45pm this Wednesday too.
semeval17-train-5553,4,pos,foo fighters,Mother-Daughter night at 1st Niagara Pavilion with the Foo Fighters :D It's gonna be a great day!  ..Tomorrow at...
semeval17-train-16436,5,neu,ryan braun,Ryan Braun was a late scratch from Monday's game with lower back tightness.
semeval17-train-6999,6,neu,hulk hogan,"LMFAO Hulk Hogan really got fired on his day off.  On a Friday, man."
semeval17-train-3753,7,neu,david wright,"David Wright may not be an everyday player when he returns until his back is full strength again, TC says, and that could be spring."
semeval17-train-13019,8,pos,national hot dog day,rhettandlink I think you guys are a little excited. National hot dog day is July 23rd.
semeval17-train-18936,9,neg,tony blair,"Penguero yeah the mosny's dece, may do a Tony Blair and do politics as well but without bombing Iraq illegally shit. You like science?"
semeval17-train-537,0,neu,bee gees,Good Saturday morning all....  Bee Gees with Can't Keep A Good Man Down
semeval17-train-1663,1,neu,caitlyn jenner,"It's only right to the victim/family, responsible driving: Caitlyn Jenner May Face Manslaughter Charge in Fatal Crash"
semeval17-train-15419,2,neu,rahul gandhi,"Now Rahul Gandhi says on  HeraldHauntsCong case, he'll hold his Court in Parliament only tomorrow !"
semeval17-train-12445,3,neg,muslims,espn There are four other posts on this timeline that equate Muslims with terrorists...since August 3rd.
semeval17-train-14121,4,pos,nirvana,i'm listening to nirvana and drinking wine from a mug how's your wednesday night going
semeval17-train-12696,5,pos,muslims,"In the Name of God, I pray for peace to all Muslims, Jews, Christians, world peoples. May all Praise and Glory be to God, forever!"
semeval17-train-19114,6,neu,twilight,Started watching Twilight as a joke and now I've basically sat through the whole movie.
